uc_id,un_sdg_reg,water_tertile,storage_quartile,mean_water_support_ratio,heat_retention_score,profile,lat,lon
1032,Northern America,Low,4,0.0418110154012304,1.467744182778102,lower-water/higher-built,36.688090837443625,-121.64052592709837
1034,Northern America,Low,2,0.1146555599925822,0.0719708532998947,intermediate,49.88544864360484,-119.45043777226324
1461,Northern America,Low,4,0.0702525521421884,1.7316759839115845,lower-water/higher-built,37.5560590967849,-122.13239289179444
1748,Northern America,Low,3,0.0153099604451959,0.7322723039363451,intermediate,34.20543705225091,-118.85975376732578
1836,Northern America,Low,3,0.1154834256452875,0.8118014051515147,intermediate,38.24850356968466,-122.62968576355328
1923,Northern America,Low,3,0.0058855176552711,0.7367339107575088,intermediate,34.27395553719806,-118.7343672578858
2007,Northern America,Low,4,0.0321809272875115,2.0434017723509235,lower-water/higher-built,33.985886648362495,-118.00281714377212
2087,Northern America,Low,4,0.1306931016664114,1.0448651780077611,lower-water/higher-built,38.438106736096834,-122.7221327769904
2167,Northern America,Low,3,0.0473092574519536,0.8239138302574704,intermediate,37.70655559713065,-121.91006247727866
2246,Northern America,Low,3,0.063781651580016,0.8125687818366089,intermediate,37.95777135210335,-122.04803482823388
2325,Northern America,Low,2,0.090771428336239,0.0960849792529863,intermediate,38.10899056023112,-122.2265796452888
2400,Northern America,Low,4,0.0330184938956966,1.333017582651043,lower-water/higher-built,37.68660950625081,-121.75131279296424
2471,Northern America,Low,4,0.0140251573095623,1.5230865580040285,lower-water/higher-built,32.74038018098678,-117.08812837843946
2541,Northern America,Low,3,0.1067653638737036,0.8003256639267811,intermediate,38.30823127508905,-122.301449539497
2607,Northern America,Low,2,0.0504652352501555,-0.1147481862727306,intermediate,38.00137541375379,-121.85345706644104
2924,Northern America,Low,3,0.0665420392253118,0.7718600702530076,intermediate,38.26072664527283,-122.02695906642106
2985,Northern America,Low,2,0.0371102777908153,0.0003604455875439,intermediate,37.960991684532424,-121.71364278440817
3045,Northern America,Low,4,0.0119536314303188,1.2278153213538114,lower-water/higher-built,33.17261782462134,-117.20126406616409
3104,Northern America,Low,3,0.0012119765317917,0.7649495343985587,intermediate,35.36087300137539,-119.04801894048022
3162,Northern America,Low,3,0.0215566688251362,0.3768527827340229,intermediate,37.731890536914776,-121.43221959954803
3218,Northern America,Low,3,0.0579490265907242,0.7626267558439597,intermediate,38.34774654012174,-121.9691544733378
3273,Northern America,Low,3,0.0085807979444718,0.900909360065552,intermediate,33.91535440478123,-117.47987403020446
3328,Northern America,Low,4,0.0372186932562283,1.24824888250089,lower-water/higher-built,37.804431551182915,-121.2226672255412
3383,Northern America,Low,3,0.0118772585694224,0.7810552889782704,intermediate,37.975390832998954,-121.29792280303688
3541,Northern America,Low,4,0.0213738658414767,1.0818547498392856,lower-water/higher-built,37.50561171851015,-120.85192659821666
358,Northern America,Low,4,0.2394932257541674,1.355570199840156,lower-water/higher-built,49.233279982529304,-122.97417841408694
3645,Northern America,Low,3,0.0054359442700156,0.6635408180048649,intermediate,36.338285825423995,-119.6528418096332
3743,Northern America,Low,3,0.0356871804426575,0.5214187851398393,intermediate,37.31017018053424,-120.47725217899308
3789,Northern America,Low,3,0.0412331987623256,0.4949474806270911,intermediate,38.55276348026777,-121.73964495236096
3834,Northern America,Low,3,0.0244506718234345,0.8448260569069094,intermediate,38.12869249788919,-121.28310729861442
