model,term,coef,std_err_hc3,p_value,n_pairs,r_squared
water_obstruction_moderation,Intercept,0.38578270502701856,0.11012489499742097,0.00045981116764072234,20954,0.01157379093353561
water_obstruction_moderation,C(un_sdg_reg)[T.Central and Southern Asia],0.16946040523686964,0.12454377291850784,0.1736245240983849,20954,0.01157379093353561
water_obstruction_moderation,C(un_sdg_reg)[T.Eastern and South-Eastern Asia],0.280783781502846,0.11800712387768562,0.017341791925086832,20954,0.01157379093353561
water_obstruction_moderation,C(un_sdg_reg)[T.Europe],0.13337613413010435,0.11135896678363644,0.23102858493109846,20954,0.01157379093353561
water_obstruction_moderation,C(un_sdg_reg)[T.Latin America and the Caribbean],0.4046760108460895,0.11938136457499678,0.0006994991248969085,20954,0.01157379093353561
water_obstruction_moderation,C(un_sdg_reg)[T.Northern Africa and Western Asia],0.06731167312189246,0.1233321313125142,0.5852201688696231,20954,0.01157379093353561
water_obstruction_moderation,C(un_sdg_reg)[T.Northern America],-0.19718028233178755,0.11189961070615237,0.07804941684745695,20954,0.01157379093353561
water_obstruction_moderation,C(un_sdg_reg)[T.Sub-Saharan Africa],0.2905447364177392,0.12384327566832047,0.018972649668851045,20954,0.01157379093353561
water_obstruction_moderation,C(wb_income)[T.Low income],-0.24348477441414654,0.08774390623204169,0.005521053988274274,20954,0.01157379093353561
water_obstruction_moderation,C(wb_income)[T.Lower Middle],-0.2750377543458801,0.04772189490504561,8.246288392325588e-09,20954,0.01157379093353561
water_obstruction_moderation,C(wb_income)[T.Upper Middle],-0.24710362315721154,0.03610301019510755,7.679438374251729e-12,20954,0.01157379093353561
water_obstruction_moderation,z_low_water_support_post_diff,0.043068762489452114,0.009564016753937435,6.693512528447915e-06,20954,0.01157379093353561
water_obstruction_moderation,z_ventilation_obstruction_index,-0.05423028548302386,0.020753329761110096,0.008972808749716399,20954,0.01157379093353561
water_obstruction_moderation,z_low_water_support_post_diff:z_ventilation_obstruction_index,0.022075848101752685,0.008980521004947338,0.013963835812509377,20954,0.01157379093353561
water_obstruction_moderation,z_built_surface_fraction_2020,0.02090635463341257,0.018667955447165964,0.2627538367087401,20954,0.01157379093353561
water_obstruction_moderation,z_green_cover_mean_2020,0.05207530686636038,0.015585930558305155,0.0008342490497988843,20954,0.01157379093353561
water_obstruction_plus_air,Intercept,0.3992366312269846,0.10954958542647306,0.00026807223016097194,20954,0.01498770455635412
water_obstruction_plus_air,C(un_sdg_reg)[T.Central and Southern Asia],0.16221215665208394,0.12399432039696787,0.19079786129343168,20954,0.01498770455635412
water_obstruction_plus_air,C(un_sdg_reg)[T.Eastern and South-Eastern Asia],0.28212602716656965,0.11750199066682958,0.016348911489766606,20954,0.01498770455635412
water_obstruction_plus_air,C(un_sdg_reg)[T.Europe],0.12141903935037351,0.11076669353976906,0.27300472971771583,20954,0.01498770455635412
water_obstruction_plus_air,C(un_sdg_reg)[T.Latin America and the Caribbean],0.3950197168681817,0.11884814354064771,0.0008882060009455562,20954,0.01498770455635412
water_obstruction_plus_air,C(un_sdg_reg)[T.Northern Africa and Western Asia],0.07609003403180452,0.12278992451965158,0.5354707722434181,20954,0.01498770455635412
