uc_id,un_sdg_reg,high_green,mean_ring_veg,z_ring_green_support,mean_water_support_ratio,heat_retention_score,profile,lat,lon
1148,Northern America,0,680.6039697542533,-0.7098460046769092,,,lower_vegetation_support,34.19093348690738,-119.18337863645512
1152,Northern America,0,599.9962192816636,-0.9610749161626796,,,lower_vegetation_support,49.6994976634608,-112.80921283150576
1257,Northern America,0,884.4839319470699,-0.0744165245690547,,,lower_vegetation_support,36.919834188647414,-121.76435886268
1361,Northern America,0,761.2296786389414,-0.458561122489847,,,lower_vegetation_support,34.272342936723675,-119.24732306751916
1560,Northern America,0,890.2637051039698,-0.0564027962323932,,,lower_vegetation_support,34.227622871393,-119.02831984140356
1656,Northern America,0,680.796786389414,-0.709245056094623,,,lower_vegetation_support,37.98380605434628,-122.54018168156068
195,Northern America,0,635.109640831758,-0.8516374660061845,,,lower_vegetation_support,49.199228243924345,-123.98687934433605
2671,Northern America,0,896.0491493383743,-0.0383713929374294,,,lower_vegetation_support,33.60320670750975,-117.68072611627385
2799,Northern America,0,673.3327032136106,-0.7325082470471357,,,lower_vegetation_support,33.05946600574901,-117.27020099114752
2862,Northern America,0,766.241965973535,-0.4429394051767946,,,lower_vegetation_support,33.17198270663158,-117.34286816928685
4172,Northern America,0,863.2013232514178,-0.140747697252064,,,lower_vegetation_support,33.75748621445988,-116.95818151136775
4325,Northern America,0,499.34404536862,-1.274775967768741,,,lower_vegetation_support,33.827531005935214,-116.53179209157824
4401,Northern America,0,486.17013232514176,-1.3158348959055168,,,lower_vegetation_support,33.756006293353124,-116.40330269595648
4439,Northern America,0,153.8553875236295,-2.3515550483435246,,,lower_vegetation_support,33.721371543810555,-116.2526147278402
4514,Northern America,0,197.0094517958412,-2.2170574531404266,,,lower_vegetation_support,32.69415083738141,-114.64050696973696
4551,Northern America,0,522.1701323251418,-1.2036342606010595,,,lower_vegetation_support,39.52062130428327,-119.79021536528124
4699,Northern America,0,390.7684310018903,-1.61317188194982,,,lower_vegetation_support,33.55889873871206,-112.1398322305514
4736,Northern America,0,461.6304347826087,-1.3923173863069458,,,lower_vegetation_support,33.35735450484789,-111.8214082822433
4843,Northern America,0,405.9347826086956,-1.5659031517960882,,,lower_vegetation_support,32.23241489991771,-110.90442649065426
508,Northern America,0,817.8648393194707,-0.2820472055752525,,,lower_vegetation_support,49.04344371144439,-122.82540839870448
5158,Northern America,0,749.8913043478261,-0.4938992557893709,,,lower_vegetation_support,46.591726109684814,-120.54159096413328
5299,Northern America,0,640.0198487712665,-0.8363338979425777,,,lower_vegetation_support,40.10325922229078,-111.63673489307745
5325,Northern America,0,829.5954631379963,-0.2454865543264699,,,lower_vegetation_support,48.74659031854858,-122.47459181743622
5377,Northern America,0,895.7542533081286,-0.0392904907691608,,,lower_vegetation_support,40.65208072873226,-111.92366649473
5403,Northern America,0,736.9187145557656,-0.5343307229064072,,,lower_vegetation_support,47.42157328803266,-120.3056228687482
5428,Northern America,0,114.39792060491492,-2.4745315165597574,,,lower_vegetation_support,35.07978764931272,-106.71044734987576
5453,Northern America,0,488.4007561436673,-1.3088827456398553,,,lower_vegetation_support,35.11673559995203,-106.5775042262983
5503,Northern America,0,670.375236294896,-0.7417257378019049,,,lower_vegetation_support,40.87750653833147,-111.89259344948924
5527,Northern America,0,681.1058601134215,-0.7082817708671354,,,lower_vegetation_support,41.10455577224256,-112.01640638379072
5551,Northern America,0,759.4603024574669,-0.4640757094802362,,,lower_vegetation_support,41.218725113750125,-111.96499469822838
5575,Northern America,0,451.14177693761815,-1.425007221687474,,,lower_vegetation_support,39.08489404383785,-108.5208465091434
5644,Northern America,0,357.85255198487715,-1.7157602857640846,,,lower_vegetation_support,32.005051710369756,-102.10832926389588
5752,Northern America,0,511.02457466918713,-1.2383714453182977,,,lower_vegetation_support,33.55112961163844,-101.89611653340528
5854,Northern America,0,160.3610586011342,-2.3312789253441393,,,lower_vegetation_support,38.25761084351869,-104.62390315727224
5874,Northern America,0,632.7731568998109,-0.8589195488268268,,,lower_vegetation_support,35.183643175018744,-101.86143381118298
6,Northern America,0,562.913988657845,-1.0766485226765363,,,lower_vegetation_support,48.4470998712761,-123.35333775543695
6006,Northern America,0,869.765595463138,-0.1202889330168862,,,lower_vegetation_support,40.171844436041184,-105.11103270580298
6042,Northern America,0,842.7060491493384,-0.2046249965574057,,,lower_vegetation_support,40.419886759431336,-105.07835726101798
6060,Northern America,0,831.0793950850662,-0.2408616069039749,,,lower_vegetation_support,40.549832812723366,-105.07805332888016
6078,Northern America,0,738.5973534971645,-0.5290989352488585,,,lower_vegetation_support,40.406482939389456,-104.71472519078654
6457,Northern America,0,549.2637051039698,-1.119192147310725,,,lower_vegetation_support,45.777204505336606,-108.55829986580746
784,Northern America,0,708.1398865784499,-0.6240252446389769,,,lower_vegetation_support,34.42270922930913,-119.71421160991896
912,Northern America,0,747.796786389414,-0.5004272070557718,,,lower_vegetation_support,36.9691560199041,-122.0008840877626
