sample,n_cities,n_events,scope,n,raw_core_bias_k,raw_ring_bias_k,harm_core_bias_k,harm_ring_bias_k,raw_core_variance_k2,raw_ring_variance_k2,harm_core_variance_k2,harm_ring_variance_k2,raw_covariance_k2,harm_covariance_k2,raw_differential_bias_squared_k2,harm_differential_bias_squared_k2,raw_downstream_mse_k2,harm_downstream_mse_k2,component_variance_gain_k2,differential_bias_gain_k2,covariance_loss_penalty_k2,net_downstream_mse_gain_k2,net_downstream_mse_gain_fraction,budget_sum_k2,budget_closure_residual_k2,raw_identity_residual_k2,harm_identity_residual_k2
2021 external GOES17/16,69,4,hourly,2571,-0.7397024594804158,-0.5716200925048375,-0.0361616575254524,-0.1046969851520966,1.75479070201656,1.529194378933484,0.4898984043882456,0.3775089437758407,1.4492208944944156,0.2384532718418541,0.0282516820881129,0.0046970911328914,0.4137949740493256,0.3951978956132695,2.4165777327859574,0.0235545909552215,2.421535245305123,0.018597078436056,0.044942736384805,0.018597078436056,0.0,-1.1102230246251563e-16,-1.1102230246251563e-16
2022-2024 expansion GOES18/16,31,31,hourly,9197,-0.6066319489037499,-0.637513753206541,0.5112495140372417,0.1476481876617566,1.4656431967944734,1.099681216502972,0.655518668423488,0.4439105276372027,1.0111622324365357,0.2818031901754683,0.0009536858369958,0.132205924542012,0.5439536342613702,0.6680287402517658,1.465895217236755,-0.1312522387050161,1.4587180845221348,-0.1240751059903956,-0.2280986800628257,-0.1240751059903959,3.3306690738754696e-16,2.220446049250313e-16,-3.3306690738754696e-16
2025 original GOES18/19,44,10,hourly,4180,-1.40524244853863,-1.0941581034318113,-0.2943281525160982,-0.3166355310382904,1.459490888729377,1.2205176691248292,0.5027557183389829,0.3904566867732802,1.1517299571252384,0.2607266960200214,0.0967734697705383,0.0004976191365323,0.4733221133742676,0.3722566322087527,1.7867961527419431,0.0962758506340059,1.782006522210434,0.1010654811655148,0.213523683575713,0.1010654811655151,-2.775557561562891e-16,-2.220446049250313e-16,5.551115123125783e-17
2025 expansion GOES18/19,31,10,hourly,2963,-0.8374483843865737,-0.9685847125510072,0.2784821762415759,-0.1859468673505454,1.6518097482842355,1.437765805127035,0.806445998788082,0.5806853896843972,1.1673229273710948,0.3129626267742906,0.01719673656445,0.2156943365318926,0.7721264352335308,0.9769004714557904,1.7024441649387914,-0.1984975999674426,1.7087206011936082,-0.2047740362222596,-0.2652079075110612,-0.2047740362222594,-2.220446049250313e-16,-2.220446049250313e-16,-1.1102230246251563e-16
2026 combined GOES18/19,75,8,hourly,5744,-1.233482312302261,-1.0518136538060152,-0.0502873084756735,0.002468191564315,1.513457519750642,1.1448700637391775,0.4819694689140891,0.4333792298424074,1.037484911548632,0.1479795560304038,0.0330035014798255,0.0027831427844692,0.6163612618723815,0.6221727294801581,1.7429788847333234,0.0302203586953563,1.7790107110364564,-0.0058114676077766,-0.0094286710850752,-0.0058114676077767,1.1102230246251563e-16,0.0,0.0
