sample,n_cities,n_events,scope,n,raw_core_bias_k,raw_ring_bias_k,harm_core_bias_k,harm_ring_bias_k,raw_core_variance_k2,raw_ring_variance_k2,harm_core_variance_k2,harm_ring_variance_k2,raw_covariance_k2,harm_covariance_k2,raw_differential_bias_squared_k2,harm_differential_bias_squared_k2,raw_downstream_mse_k2,harm_downstream_mse_k2,component_variance_gain_k2,differential_bias_gain_k2,covariance_loss_penalty_k2,net_downstream_mse_gain_k2,net_downstream_mse_gain_fraction,budget_sum_k2,budget_closure_residual_k2,raw_identity_residual_k2,harm_identity_residual_k2
2022-2024 expansion GOES18/16,31,31,hourly,9197,-0.6066319489037499,-0.637513753206541,0.5112495140372417,0.14764818766175664,1.4656431967944734,1.0996812165029721,0.655518668423488,0.44391052763720273,1.0111622324365357,0.28180319017546834,0.0009536858369958858,0.13220592454201202,0.5439536342613702,0.6680287402517658,1.465895217236755,-0.13125223870501612,1.4587180845221348,-0.12407510599039562,-0.22809868006282574,-0.12407510599039595,3.3306690738754696e-16,2.220446049250313e-16,-3.3306690738754696e-16
2022-2024 expansion GOES18/16,31,31,transition,886,1.865755239059765,1.666748728938882,-0.05463106967488701,-0.10964522487753521,0.8586018401433788,0.77060975252253,0.8689112932865938,0.7712511655916238,0.18869316156412672,0.1935379181537161,0.03960359107049306,0.003026557272661064,1.291428860608148,1.2561131798434466,-0.010950866212308785,0.036577033797832,-0.009689513179178766,0.035315680764701485,0.02734620685809278,0.03531568076470198,-4.926614671774132e-16,-2.220446049250313e-16,2.220446049250313e-16
2025 original GOES18/19,44,10,hourly,4180,-1.4052424485386301,-1.0941581034318113,-0.2943281525160982,-0.3166355310382904,1.459490888729377,1.2205176691248292,0.5027557183389829,0.3904566867732802,1.1517299571252384,0.2607266960200214,0.09677346977053834,0.0004976191365323629,0.47332211337426766,0.37225663220875277,1.7867961527419431,0.09627585063400598,1.782006522210434,0.10106548116551489,0.21352368357571302,0.10106548116551517,-2.7755575615628914e-16,-2.220446049250313e-16,5.551115123125783e-17
2025 original GOES18/19,44,10,transition,435,2.1455262892900024,2.0005459831500856,0.134438737238979,0.14594717670375945,0.688362998453022,0.6090030180719892,0.6071092278647374,0.5582526828499994,0.3519878513514855,0.28756781065341874,0.021019289168424014,0.00013244417891451602,0.614409602990464,0.590358733586814,0.13200410581027433,0.020886844989509497,0.12884008139613357,0.024050869403649977,0.039144683427129415,0.024050869403650255,-2.7755575615628914e-16,-1.1102230246251565e-16,1.1102230246251565e-16
2025 expansion GOES18/19,31,10,hourly,2963,-0.8374483843865737,-0.9685847125510072,0.27848217624157595,-0.18594686735054544,1.6518097482842355,1.437765805127035,0.806445998788082,0.5806853896843972,1.1673229273710948,0.31296262677429065,0.017196736564450008,0.2156943365318926,0.7721264352335308,0.9769004714557904,1.7024441649387914,-0.1984975999674426,1.7087206011936082,-0.20477403622225965,-0.26520790751106127,-0.20477403622225943,-2.220446049250313e-16,-2.220446049250313e-16,-1.1102230246251565e-16
2025 expansion GOES18/19,31,10,transition,298,2.018520414048239,2.036005525841957,0.04456670031664474,0.21341183730710697,1.0317089237520656,1.072657298207096,1.0365718821865675,1.049288832660633,0.40565091363948796,0.39430746203827416,0.00030572913443881747,0.028508680285327954,1.2933701238146247,1.32575447105598,0.018505507111961084,-0.028202951150889135,0.02268690320242761,-0.032384347241355416,-0.02503873148534006,-0.032384347241355665,2.498001805406602e-16,-2.220446049250313e-16,0.0
2026 combined GOES18/19,75,8,hourly,5744,-1.233482312302261,-1.0518136538060152,-0.050287308475673594,0.0024681915643150715,1.5134575197506421,1.1448700637391775,0.4819694689140891,0.4333792298424074,1.037484911548632,0.14797955603040383,0.033003501479825545,0.0027831427844692436,0.6163612618723815,0.6221727294801581,1.7429788847333234,0.030220358695356303,1.7790107110364564,-0.005811467607776621,-0.009428671085075255,-0.0058114676077767324,1.1102230246251565e-16,0.0,0.0
2026 combined GOES18/19,75,8,transition,588,1.9019046894353993,1.7861366201433075,-0.12625810734054294,-0.19748413311464277,0.7112922907411874,0.6108463897124982,0.6979592727620012,0.6011376240091282,0.2188161224112028,0.2079101012337262,0.013402245867618548,0.005073146747572734,0.8979086814988984,0.8883498410512497,0.02304178368255616,0.008329099120045813,0.02181204235495321,0.009558840447648653,0.010645671040502553,0.009558840447648764,-1.1102230246251565e-16,-2.220446049250313e-16,0.0
