sample,component,raw_rmse_k,corrected_rmse_k,rmse_reduction_fraction
2021 external GOES17/16,core,1.5172179904608092,0.7008609490214401,0.5380617990111132
2021 external GOES17/16,ring,1.362330323045304,0.6232739385501203,0.5424942629502101
2021 external GOES17/16,anomaly,0.6432689748847876,0.6286476720813253,0.0227296875402409
2022-2024 expansion GOES18/16,core,1.3541216777768663,0.957546204643308,0.2928654637481599
2022-2024 expansion GOES18/16,ring,1.2272346972076948,0.6824298608333343,0.4439288080869497
2022-2024 expansion GOES18/16,anomaly,0.737532124223325,0.8173302516435849,-0.108196137902865
2025 original GOES18/19,core,1.8531587163284804,0.7677139960314144,0.5857267975662512
2025 original GOES18/19,ring,1.5548953741105307,0.7005103470250674,0.54948071832435
2025 original GOES18/19,anomaly,0.6879840938381262,0.6101283735483483,0.1131650004514441
2025 expansion GOES18/19,core,1.5339913770278883,0.9402118491448224,0.3870813987452232
2025 expansion GOES18/19,ring,1.5414026568403705,0.7843861467172139,0.4911218407232538
2025 expansion GOES18/19,anomaly,0.8787072522936924,0.9883827555435144,-0.1248146102852068
2026 combined GOES18/19,core,1.742106809157571,0.6960591083434055,0.6004498089987961
2026 combined GOES18/19,ring,1.500393956956618,0.6583200755043139,0.5612351859643298
2026 combined GOES18/19,anomaly,0.7850867862041633,0.7887792653715981,-0.0047032751439974
