scope,metric,estimate,ci95_low,ci95_high,probability_gt_zero,n_bootstrap
hourly,component_variance_gain_k2,1.7393511413623979,1.5555669690695564,1.9326450645547213,1.0,5000
hourly,differential_bias_gain_k2,0.029503980983416698,0.0034949425996445137,0.06180501867170118,0.9878,5000
hourly,covariance_loss_penalty_k2,1.7749168801582638,1.5856829354301072,1.9716052007385911,1.0,5000
hourly,net_downstream_mse_gain_k2,-0.006061757812449004,-0.0902640058882967,0.0753496411040228,0.4508,5000
hourly,net_downstream_mse_gain_fraction,-0.010118825874669836,-0.14897074986199918,0.12198025847461472,0.4508,5000
hourly,budget_closure_residual_k2,-4.674038933671909e-18,-6.661338147750939e-16,6.661338147750939e-16,0.4344,5000
transition,component_variance_gain_k2,0.022292254080910623,-0.02713012917325537,0.07441026323437919,0.8298,5000
transition,differential_bias_gain_k2,0.008177065609205445,-0.008096520932681215,0.02538355509298271,0.8298,5000
transition,covariance_loss_penalty_k2,0.02108025294181017,-0.027840370089029506,0.07256724725226216,0.8194,5000
transition,net_downstream_mse_gain_k2,0.009389066748305898,-0.0061156457441400745,0.026029247146292702,0.8706,5000
transition,net_downstream_mse_gain_fraction,0.010064054886752999,-0.008124639123939976,0.026123867940856683,0.8706,5000
transition,budget_closure_residual_k2,-1.2047654540658925e-18,-4.0245584642661925e-16,4.0601202955237044e-16,0.4866,5000
