metric,obs_slope,null_mean_slope,null_q025_slope,null_q975_slope,empirical_p_one_sided,n_null
mean_frac_compound_night,0.002490837051238075,0.002490837051238074,0.002490837051238074,0.0024908370512380755,0.5748502994011976,500
p90_frac_compound_night,0.0040039197618472345,0.002588683185391245,0.002533286951386599,0.002642246488546595,0.001996007984031936,500
max_frac_compound_night,0.004499952215421305,0.0026656391793604007,0.0025504929656820327,0.002800577480197841,0.001996007984031936,500
