model,intercept_like_effect,attenuation_vs_baseline_pct,n_obs,r2
night_only,1.2264139760647481,0.0,35373,2.220446049250313e-16
plus_rel_day,1.2086051242030027,1.4521077066399268,33258,0.00012306321038169088
plus_day_built,0.71805717852671,41.45066897959091,34797,0.19468475100011418
plus_both,0.6646439293975029,45.80590711056824,33258,0.21106204010382068
