event_time,mean_effect,p05,p95,n_pairs,outcome
-2,-0.22647211072965107,-3.4923131434404624,2.8572181815280895,45226,tb_night_anom
-1,0.22482499291728086,-2.846307820173784,3.478905226818305,45226,tb_night_anom
0,1.413566763069387,-3.6118411446847616,7.38251296738333,45226,tb_night_anom
1,1.0313768574261661,-4.331306734065746,6.980518785504661,45226,tb_night_anom
2,0.3405625122690314,-5.403235901451031,6.11582389100566,45226,tb_night_anom
-2,-0.42568724080460946,-4.111753989739402,2.9174348705970026,45226,tb_day_anom
-1,0.4197655482489545,-2.89680687956891,4.088921954946748,45226,tb_day_anom
0,1.5872991695901997,-4.522628602545474,8.577609403744447,45226,tb_day_anom
1,1.064812693125825,-5.749776947378903,8.329537793548289,45226,tb_day_anom
2,-0.03801557698544101,-7.44822371770711,7.212739976306966,45226,tb_day_anom
-2,-0.0027342462465469743,-0.39650554052063564,0.3984890939483601,45226,dT_day_anom
-1,0.002674253104917979,-0.39281793057662145,0.3930832204650752,45226,dT_day_anom
0,0.006285907945007721,-0.7783509781219984,0.7884391137267395,45226,dT_day_anom
1,0.007822861758303781,-0.8316354632964674,0.8535561004861479,45226,dT_day_anom
2,0.010011710268915541,-0.8348277450900318,0.8796166253835637,45226,dT_day_anom
-2,-0.084394159540538,-2.73809797598879,2.667804187343134,45226,t2m_anom
-1,0.084394159540538,-2.667804187343134,2.73809797598879,45226,t2m_anom
0,1.620163748087225,-3.0010661387284716,7.212022931674195,45226,t2m_anom
1,1.8301895233837142,-2.785753623413023,7.620950567523597,45226,t2m_anom
2,0.6143449801341511,-4.677438824482449,6.225844773274989,45226,t2m_anom
