model,term,coef,std_err,t_stat,p_value
same_interval,dhd,-0.4629302070007334,0.007141598772824456,-64.8216487269345,0.0
same_interval,tb_day_anom,0.35424632748802726,0.00234248978133694,151.22641315679363,0.0
same_interval,dT_day_anom,0.33604015354009614,0.0071097229221977415,47.26487335968083,0.0
same_interval,tb_day_x_dhd,-0.0020012074113793473,0.0022253613324346344,-0.8992730224129248,0.3685073420384337
same_interval,rel_day_x_dhd,0.00639008197246807,0.014206366909008299,0.4498040923056901,0.6528517467797417
same_interval,t2m_anom,0.3629870285269068,0.0014287538360042147,254.05848046019594,0.0
lagged,dhd_l1,-0.1682031261226084,0.006019214280912868,-27.944365871138068,0.0
lagged,tb_day_anom_l1,-0.012696701206951329,0.0008558001906571817,-14.836057932169124,0.0
lagged,dT_day_anom_l1,-0.026527995512468865,0.005734423340311737,-4.626096459600895,3.72642565515946e-06
lagged,tb_day_l1_x_dhd_l1,-0.003527592047922101,0.00199317683569147,-1.769833957907861,0.07675494087901136
lagged,rel_day_l1_x_dhd_l1,0.018205382185310995,0.014663475626525962,1.241546182432887,0.21440417845266424
lagged,t2m_anom,0.5610970581414543,0.001631117013128106,343.9955892958284,0.0
joint_same_plus_lag,dhd,-0.38072895701373327,0.007041342086609652,-54.07050990147975,0.0
joint_same_plus_lag,tb_day_anom,0.3657197325466229,0.0023147042951023695,157.99846802049012,0.0
joint_same_plus_lag,dT_day_anom,0.3796014549976815,0.00739526841123991,51.33031472133363,0.0
joint_same_plus_lag,tb_day_x_dhd,0.0010270684303357975,0.0021830222391931156,0.47048005828626854,0.6380121240290544
joint_same_plus_lag,rel_day_x_dhd,0.01828809647850442,0.014745199635158562,1.2402745931562804,0.21487397606728753
joint_same_plus_lag,t2m_anom,0.38105381653664944,0.00150757954325741,252.75868078795418,0.0
joint_same_plus_lag,dhd_l1,-0.11139547317670441,0.00539292460066895,-20.655855852849616,0.0
joint_same_plus_lag,tb_day_anom_l1,-0.05188102620064305,0.0008668653169655239,-59.84900443618326,0.0
joint_same_plus_lag,dT_day_anom_l1,-0.11453416903807441,0.00524804288211607,-21.82416790616866,0.0
joint_same_plus_lag,tb_day_l1_x_dhd_l1,-0.006582592426087265,0.0018801954327138989,-3.5010150070335317,0.0004634987340983443
joint_same_plus_lag,rel_day_l1_x_dhd_l1,-0.026797540521994557,0.013713571637116196,-1.9540890754868123,0.05069080782806279
