model,n_obs,n_entity,rsq_within,rsq_overall
same_interval,2443322,2769,0.36670198095075923,0.3678737303415003
lagged,2248358,2769,0.26477919371954006,0.2660656488824996
joint_same_plus_lag,2248358,2769,0.37225218210573174,0.3736926155175285
