scheme,mean_concurrent_2021_2025,max_concurrent_2021_2025,mean_annual_atleast_once_2021_2025,max_annual_atleast_once_2021_2025
represented_panel,37014928.09230217,240950337.35308,802550660.7723138,1121567366.31541
poststratified_to_full_ucdb,44705760.49684447,271339576.3498617,975544707.0595903,1373885862.9774039
poststratified_capped_weight_10,44704255.34084596,271339576.3498617,975529321.0204942,1373847397.879664
