filter,n_pairs,share_pairs_retained,diff_compound_failure_loss_dhd_minus_mld_mean,diff_compound_failure_loss_dhd_minus_mld_ci95_low,diff_compound_failure_loss_dhd_minus_mld_ci95_high,diff_p_failure_given_hot_dhd_mean,diff_p_failure_given_hot_dhd_ci95_low,diff_p_failure_given_hot_dhd_ci95_high,diff_gradient_shift_dhd_minus_mld_mean,diff_gradient_shift_dhd_minus_mld_ci95_low,diff_gradient_shift_dhd_minus_mld_ci95_high
All matched pairs,2769,1.0,0.011730239251744969,0.009175125329694861,0.014285353173795076,0.027656365225381497,0.019480548171730575,0.03583218227903242,0.07012562693989985,0.05260714697747099,0.08764410690232871
Both cities night-valid fraction ≥0.75,1654,0.5973275550740339,0.014223537139491812,0.010917850523136725,0.0175292237558469,0.029725121372133612,0.019158794017754575,0.04029144872651265,0.05618081742501795,0.033195361267923496,0.07916627358211241
Both cities above 10th percentile pixel support,2403,0.8678223185265439,0.011647666426066811,0.008858628789252162,0.01443670406288146,0.027223483767023944,0.018372479121580104,0.036074488412467784,0.06513486014712454,0.046520648636456496,0.08374907165779258
Exclude highest 10% ring built-share proxy,2230,0.8053448898519321,0.01130657325212305,0.008403932673710215,0.014209213830535885,0.024163749688937548,0.015080967323337668,0.033246532054537425,0.05114512052424132,0.031963607426401835,0.0703266336220808
Exclude strongest 10% DHD-MLD sampling imbalance,2304,0.8320693391115926,0.013158969098093186,0.010345005590151456,0.015972932606034915,0.029816631898394945,0.020740103574696276,0.03889316022209362,0.058598979704540116,0.03997855506152843,0.07721940434755181
Combined artifact screen,1156,0.4174792343806428,0.013872574632011215,0.009779853616692286,0.017965295647330144,0.026483794458417854,0.01382215045268361,0.039145438464152096,0.02668403871623224,-0.0005734165749988231,0.0539414940074633
