model,outcome,term,coef,std_err_cluster_city,t_stat,p_value_norm_approx,n_obs,n_entities,n_times,n_clusters
vegetation_state_model,failure,z_core_tv_day_anom,-0.013735823627165702,0.003070376247277113,-4.473661375978588,7.689147800466634e-06,52907,2769,1014,2769
vegetation_state_model,failure,z_core_tv_day_anom_lag1,0.003486014408424238,0.002484195456505924,1.4032770244767272,0.16053424670924596,52907,2769,1014,2769
vegetation_state_model,failure,z_core_tv_night_anom,0.19993159456449813,0.00477204349450713,41.89643174766319,0.0,52907,2769,1014,2769
vegetation_state_model,failure,z_t2m_true_night_c,-0.27046534002398914,0.01314850559617011,-20.57004410469051,5.091969810516956e-94,52907,2769,1014,2769
vegetation_state_model,failure,z_vpd_pct,-0.0016395132273795754,0.002441786359421371,-0.6714400795359059,0.501940219578636,52907,2769,1014,2769
vegetation_state_model,failure,z_rzsm_pct,-0.005573738141594312,0.002292142315129096,-2.4316719362516515,0.015029313214508353,52907,2769,1014,2769
vegetation_advantage_model,failure,z_core_dT_day_anom,0.00585749073477836,0.002407009619940694,2.4335136371090536,0.014953072143120336,52306,2762,1015,2762
vegetation_advantage_model,failure,z_core_dT_day_anom_lag1,0.0027387550007268407,0.002415152341272695,1.133988508270919,0.2567993684453031,52306,2762,1015,2762
vegetation_advantage_model,failure,z_core_tb_day_anom,0.03593063338374524,0.003230354427555266,11.12281459806798,9.715765687929107e-29,52306,2762,1015,2762
vegetation_advantage_model,failure,z_core_tb_day_anom_lag1,0.0006912363799960913,0.002752313875568621,0.2511473659061809,0.801700176445339,52306,2762,1015,2762
vegetation_advantage_model,failure,z_t2m_true_night_c,-0.005408886341548887,0.012435494460474593,-0.43495547030644255,0.663594749889157,52306,2762,1015,2762
vegetation_advantage_model,failure,z_vpd_pct,0.004907963739792182,0.002550514160121036,1.9243036625835757,0.054316531770939536,52306,2762,1015,2762
vegetation_advantage_model,failure,z_rzsm_pct,0.001186325376607733,0.0023772295115466113,0.4990369549282252,0.6177533501916074,52306,2762,1015,2762
spatial_vegetation_model,failure,z_core_minus_ring_tv_day_anom,0.011311245450385152,0.0024453820612890978,4.6255534582691595,3.735994275462754e-06,54631,2766,1020,2766
spatial_vegetation_model,failure,z_core_minus_ring_tv_night_anom,0.25303059614635626,0.012480535472322191,20.274017625886056,2.1810324390865375e-91,54631,2766,1020,2766
spatial_vegetation_model,failure,z_core_minus_ring_dT_day_anom,-0.018218486352547303,0.002353554665415102,-7.740838409348808,9.876335624903111e-15,54631,2766,1020,2766
spatial_vegetation_model,failure,z_t2m_true_night_c,0.013112301571187273,0.011691267987444312,1.1215465752105813,0.2620552778930198,54631,2766,1020,2766
spatial_vegetation_model,failure,z_wetbulb_true_night_c,-0.042683879391775995,0.009819290983670065,-4.346941083909344,1.3804928113796077e-05,54631,2766,1020,2766
spatial_vegetation_model,failure,z_vpd_pct,0.005528382748025694,0.0021842003655544147,2.531078574662919,0.011371237192575106,54631,2766,1020,2766
spatial_vegetation_model,failure,z_rzsm_pct,0.0008786915550716025,0.002025773094796994,0.4337561582432102,0.6644655213042416,54631,2766,1020,2766
