model,n_cities,pseudo_r2,n_obs,auc
city_base,2769.0,0.47684681116983507,,
city_augmented_builtform,2769.0,0.5060807227600492,,
event_base,,0.018777512848574207,60106.0,0.5947001768678128
event_augmented_builtform,,0.030062821821752683,60106.0,0.615446791431016
