uc_id,veg_group,high_green,population_2025,un_sdg_reg,wb_income,mean_ring_veg,z_ring_green_support,n_valid_intervals,median_true_night_t2m_c,median_true_night_wetbulb_c,true_night_heat_share,n_source_intervals,valid_core_ring_fraction,log_population,n_mld,mean_gradient_mld,loss_probability_mld,n_dhd,mean_gradient_dhd,loss_probability_dhd,n_extreme_dhd,mean_gradient_extreme_dhd,loss_probability_extreme_dhd,mean_t2m_c,mean_vpd_kpa,mean_rzsm,mean_log1p_pr_sum
1,low_veg,0,60041.65661,Oceania,Lower Middle,421.9291115311909,-1.5160538777301873,934,24.646640094837238,22.6090707498257,0.10171306209850108,1058,0.8827977315689981,11.002793877138904,130.0,0.004273251276682626,0.5,50.0,-0.08956996355560548,0.42,50.0,-0.09679735638444796,0.44,24.79476046174598,0.5034351897934183,0.27694182332837514,0.0378891639426736
1000,high_veg,1,52131.47162,Northern Africa and Western Asia,Upper Middle,1052.430056710775,0.44901852808120546,1008,13.357729695060044,11.155252681786248,0.10416666666666667,1058,0.9527410207939508,10.861524107173787,171.0,-0.3738044882718092,0.4152046783625731,48.0,-0.08663684479729065,0.3958333333333333,43.0,-0.042064446511936276,0.5581395348837209,15.914209270056668,0.9668314684769006,0.18246333390267747,0.004790585820851781
10001,high_veg,1,204649.6776,Eastern and South-Eastern Asia,Upper Middle,1013.6068052930056,0.3280187093684719,1037,12.854288622886656,10.06844550710323,0.10028929604628736,1058,0.9801512287334594,12.22905490654672,137.0,0.14833105151783174,0.6423357664233577,55.0,-0.19882658002178086,0.34545454545454546,42.0,-0.38946680042393733,0.3333333333333333,15.08981272276906,0.6541737800918922,0.26642501936470864,0.010498220783329704
10003,high_veg,1,278584.9138,Eastern and South-Eastern Asia,Upper Middle,1034.2939508506615,0.39249401142971585,988,15.063400310018864,13.065570554509128,0.10323886639676114,1058,0.9338374291115312,12.537478188825782,148.0,-0.17620865905883862,0.36486486486486486,57.0,0.6022379816291257,0.6666666666666666,49.0,0.750501479330354,0.8571428571428571,17.54773037245242,0.6110453138482086,0.3277490502564604,0.017706328201634054
10005,low_veg,0,135407.6227,Eastern and South-Eastern Asia,Upper Middle,895.2778827977315,-0.040775187266573504,931,15.236097908020042,13.309820518132248,0.10204081632653061,1058,0.8799621928166351,11.816044935512291,133.0,-0.08212593770511338,0.42105263157894735,43.0,-0.5997178606999838,0.4418604651162791,50.0,-0.40442852461645484,0.36,17.636652307486553,0.5537406427538714,0.4421186707159035,0.020780204144240057
10006,high_veg,1,765930.3664,Central and Southern Asia,Lower Middle,1245.906427221172,1.0520232971830694,806,23.224578016027465,21.709594520748766,0.10049627791563276,1058,0.7618147448015122,13.548846539107545,123.0,-0.1888218322951018,0.4065040650406504,49.0,-0.06057290933073919,0.5510204081632653,42.0,0.29218208924800876,0.6428571428571429,26.919688541905607,1.3130567303333314,0.22064565356832277,0.012735228919981792
10007,low_veg,0,169009.2202,Eastern and South-Eastern Asia,Upper Middle,774.2873345935727,-0.4178645309982731,1033,11.079360286209976,8.180833948441913,0.09970958373668926,1058,0.9763705103969754,12.037708549813459,131.0,-0.35645646923032925,0.29770992366412213,48.0,0.2687233678639395,0.7083333333333334,39.0,0.3866332767086563,0.7948717948717948,13.830015630176172,0.6146643473062736,0.27975355429018606,0.010976242970969281
10008,high_veg,1,3812495.5,Central and Southern Asia,Lower Middle,1150.2570888468808,0.753914504626223,919,22.27329484461626,17.5774505747757,0.11099020674646355,1058,0.8686200378071833,15.153794519569239,153.0,-0.051913767864965744,0.43137254901960786,50.0,0.04801987011513741,0.64,38.0,-0.03335242402712276,0.4473684210526316,25.63795368649939,1.3793575864448517,0.26570313514828503,0.014341134534456535
10011,low_veg,0,142778.3884,Eastern and South-Eastern Asia,Upper Middle,828.5888468809073,-0.2486238594251692,978,15.963768672943132,14.091540531510317,0.1032719836400818,1058,0.9243856332703214,11.869048975697611,152.0,-0.16965501295256646,0.3881578947368421,46.0,0.11797590143660756,0.5869565217391305,54.0,0.16506723978752652,0.7222222222222222,18.275950202966367,0.5940765226480982,0.3673576135340921,0.019060196258397027
10015,low_veg,0,92961.76479,Eastern and South-Eastern Asia,Upper Middle,764.8374291115312,-0.44731690318305467,798,18.97135391235352,16.51774104588432,0.08897243107769423,1058,0.7542533081285444,11.43994355630743,129.0,-0.24959800605973195,0.3798449612403101,44.0,-0.5026766505692843,0.3181818181818182,46.0,-0.17219625682325032,0.5,20.46661766628749,0.6099054170133485,0.3619176543427475,0.026548574871632178
10017,low_veg,0,109670.9337,Eastern and South-Eastern Asia,Upper Middle,547.8034026465028,-1.1237434490736262,804,20.788151454925583,19.172304866604215,0.07960199004975124,1058,0.7599243856332704,11.605239649441,111.0,-0.10966348113018538,0.4954954954954955,41.0,-0.35756629658819006,0.3902439024390244,32.0,-0.5664841955937012,0.25,22.559160901618313,0.523491004257771,0.33154424547059924,0.022182385715872558
10019,high_veg,1,160999.6585,Eastern and South-Eastern Asia,Upper Middle,982.7731568998108,0.2319199610776189,999,13.798804027751373,10.959864539524247,0.1031031031031031,1058,0.944234404536862,11.989157522846337,155.0,-0.37502026878591677,0.3096774193548387,55.0,0.1703071986036958,0.6181818181818182,53.0,0.06897460528070953,0.6226415094339622,16.123535534234364,0.6723825064464866,0.3672833431270337,0.012063457264557242
10021,low_veg,0,177880.8914,Eastern and South-Eastern Asia,Upper Middle,857.805293005671,-0.15756542007692095,860,15.322953707711775,13.63096091384418,0.1127906976744186,1058,0.8128544423440454,12.088869455855612,118.0,-0.28227496538670466,0.3305084745762712,38.0,-0.4427970486258485,0.2631578947368421,44.0,-0.22332765768035798,0.29545454545454547,17.390936296690686,0.5536385834983688,0.4347937972366951,0.01918788933297015
10022,low_veg,0,163941.013,Central and Southern Asia,Lower Middle,741.015122873346,-0.5215635113592134,904,22.11403410993981,17.235188825441806,0.11061946902654868,1058,0.8544423440453687,12.007261965277841,149.0,-0.18619990318991517,0.2751677852348993,60.0,-0.02944457234719501,0.6,32.0,0.03599910719419275,0.59375,25.399778636146383,1.2932936560168757,0.2700559724556551,0.015542446311957371
10023,high_veg,1,965075.588,Eastern and South-Eastern Asia,Upper Middle,1075.4782608695652,0.5208525044490693,880,17.184778001231564,15.002963419091486,0.10454545454545454,1058,0.831758034026465,13.779961706787203,143.0,-0.27895226772293974,0.4405594405594406,53.0,0.26971178031257986,0.7169811320754716,47.0,0.42327645931412616,0.7446808510638298,19.214031518496643,0.5639169724788977,0.39271176888262876,0.028074023312101043
10025,low_veg,0,773945.62,Eastern and South-Eastern Asia,Upper Middle,859.9347826086956,-0.1509284732343211,1044,4.863919254346172,2.4631728799866854,0.09578544061302682,1058,0.9867674858223062,13.559256891705694,149.0,-0.21306876083720075,0.4161073825503356,54.0,-0.233754183267962,0.6296296296296297,28.0,0.3206921032999307,0.6428571428571429,7.559840528594172,0.4114974485437131,0.31889907130140543,0.011973836365105009
10027,high_veg,1,771016.1691,Eastern and South-Eastern Asia,Upper Middle,1048.687145557656,0.4373530556015364,960,15.752536188283955,13.996068928268578,0.10208333333333333,1058,0.9073724007561437,13.555464623920896,147.0,-0.1651795056797315,0.46938775510204084,45.0,0.4396538211072571,0.6222222222222222,50.0,0.22379394275856004,0.7,18.02231750122523,0.5884143769326625,0.43706167066782,0.020170254485293873
10028,low_veg,0,115098.4211,Central and Southern Asia,Lower Middle,686.7627599243856,-0.6906509999603622,897,21.893936907234888,17.22562162548981,0.11036789297658862,1058,0.8478260869565217,11.65354287697905,152.0,0.00863091005881854,0.4868421052631579,55.0,0.03325209102562499,0.5636363636363636,41.0,0.1461158813962381,0.6097560975609756,25.8689545207754,1.4468846182644677,0.26903505181094417,0.014365419293128078
10029,high_veg,1,812534.4531,Eastern and South-Eastern Asia,Upper Middle,1032.6266540642723,0.38729757368877277,988,14.926279241583359,12.834554649525876,0.10222672064777327,1058,0.9338374291115312,13.607913596102398,144.0,-0.30668006468210457,0.3333333333333333,56.0,0.12382485055781701,0.5357142857142857,45.0,0.3987865337757272,0.7111111111111111,17.24530747984124,0.609650146604511,0.32451033878157676,0.01663532140074388
10033,low_veg,0,70150.55545,Eastern and South-Eastern Asia,Upper Middle,838.0160680529301,-0.2192421870735974,1044,11.254238891601602,8.088128934413337,0.09674329501915709,1058,0.9867674858223062,11.158399003532047,148.0,-0.26226740132388704,0.28378378378378377,66.0,0.1570246397477057,0.6363636363636364,36.0,0.3258030739775766,0.6944444444444444,13.823210194299483,0.7240998666303631,0.22810502824573284,0.009372205052302449
