uc_id,un_sdg_reg,wb_income,n_dhd_hot,p_failure,mean_t2m,mean_wetbulb,mean_vpd_pct,mean_rzsm_pct,mean_tc_aet_mm,mean_tc_def_mm,mean_water_support_ratio,ahe_night_wm2,ahe_annual_wm2,ventilation_obstruction_index,built_surface_fraction_2020,mean_building_height_2020,road_density_2024,lcz_compact_share_2025,lcz_natural_share_2025,green_cover_mean_2020
1000,Northern Africa and Western Asia,Upper Middle,12,0.6666666666666666,26.651225802103664,18.426457666051686,95.28985507246377,9.057971014492752,4.733333333333333,178.99166666666667,0.02583241252621625,,,-0.6298841381630252,0.2612861666666666,6.370931999,0.009094056,5.447,10.769,0.380484048
10001,Eastern and South-Eastern Asia,Upper Middle,17,0.4117647058823529,26.174654673940886,23.969333559669074,93.60613810741688,8.184143222506393,75.91764705882352,90.9529411764706,0.47867723349307406,2.992918959054957,2.564479874346193,-3.703643355135751,0.1195368505747126,4.616431795,0.00186872,8.537,51.441,0.388595031
10003,Eastern and South-Eastern Asia,Upper Middle,20,0.55,28.05994521182522,24.924066329986967,95.0,10.0,59.29,101.59,0.3776626003483089,11.232679022926703,9.59806209640737,2.1685298906060364,0.2124102394366197,8.959090083,0.005611709,8.296,12.706,0.368480997
10006,Central and Southern Asia,Lower Middle,24,0.2916666666666667,28.338106770116156,22.651962591029726,93.4782608695652,9.601449275362318,66.5,114.5625,0.38059081248550625,0.985766581381448,1.0730353747446228,-1.8060997307630844,0.1513905957446808,5.342547509,0.009779513,6.792,14.634,0.456737019
10008,Central and Southern Asia,Lower Middle,16,0.4375,30.62339034672364,24.247820859830156,94.02173913043478,9.782608695652174,87.65625,102.025,0.5045943265957777,,,-1.2545371670255292,0.1558719028871391,5.201715877,0.011595006,13.868,32.114000000000004,0.307412642
10019,Eastern and South-Eastern Asia,Upper Middle,24,0.75,26.727318673349384,23.85295359606714,94.7463768115942,10.326086956521738,64.30833333333334,103.8125,0.40037165997978413,3.455223254253452,2.955902811589227,5.797784269422819,0.278930625,9.436091716,0.008092998,21.19,4.984000000000001,0.273646776
10023,Eastern and South-Eastern Asia,Upper Middle,21,0.5238095238095238,25.908563491520518,23.322411328603742,93.7888198757764,8.902691511387165,105.16190476190476,49.54761904761905,0.6912411008150714,13.730341457840597,11.732109506709728,1.1812010209113069,0.208665,10.46419008,0.008030679,5.536,15.53,0.40750933
10027,Eastern and South-Eastern Asia,Upper Middle,23,0.6521739130434783,28.755847006602973,24.94901196829585,95.27410207939509,8.884688090737239,85.83478260869565,85.8304347826087,0.5229518506808777,5.8756460742160685,5.019838895176875,-0.8868564727283625,0.1591075263157894,7.74284821,0.008915694,3.774,22.386,0.341590243
10029,Eastern and South-Eastern Asia,Upper Middle,21,0.5714285714285714,27.39627884333633,24.830566177070896,94.20289855072464,10.351966873706003,69.19047619047619,83.07142857142857,0.46571480072690075,2.57866832366295,2.203557150801543,1.5674143770727331,0.1969360526315789,7.842838642,0.0049377,8.623,8.709999999999999,0.367200179
10041,Eastern and South-Eastern Asia,Upper Middle,20,0.55,27.627715624109168,24.014132702306668,94.78260869565217,10.434782608695652,93.39,84.38000000000001,0.5386057216796504,2.4532078776226425,2.096482049570625,1.7696227518347274,0.2196179718309859,10.65579214,0.004977887,4.477,7.624,0.365487804
