outcome,n_pairs,mean_high_minus_matched_low,median_high_minus_matched_low,std_error,t_stat,ci95_low,ci95_high
hot_reliability_loss_dhd_minus_mld,2769,0.01603813687146025,0.011167827712521783,0.0018499634589597706,8.669434411682083,0.012412208491899099,0.0196640652510214
core_warmer_reliability_loss_dhd_minus_mld,2769,0.041786306275912455,0.029301541840881087,0.003999796313178976,10.447108553560657,0.03394670550208166,0.04962590704974325
compound_failure_loss_dhd_minus_mld,2769,0.01173023925174497,0.0096974710219319,0.0013036295520663813,8.9981384919906,0.009175125329694863,0.014285353173795078
p_failure_given_hot_dhd,2769,0.0276563652253815,0.020833333333333287,0.004171335231454553,6.630098922962293,0.019480548171730575,0.035832182279032426
gradient_shift_dhd_minus_mld,2769,0.07012562693989985,0.04988045138157021,0.00893799998083105,7.845785085063247,0.05260714697747099,0.08764410690232871
p_compound_failure_dhd,2769,0.008751631414814878,0.007502374169040905,0.0012004450546756935,7.290322352303893,0.006398759107650519,0.011104503721979237
