un_sdg_reg,total_weighted_burden,exposed_cities,represented_population,n_cities,burden_share,population_share
Australia and New Zealand,754121061.2943991,23,15832493.92726,23,0.005710363571746609,0.007862146492841695
Central and Southern Asia,21225416308.79848,454,470098539.14864,454,0.16072332455067503,0.23344291795330047
Eastern and South-Eastern Asia,54664787192.93883,746,711869352.66036,746,0.4139332866636075,0.35350218102681014
Europe,21952822832.90092,642,223217235.13468,642,0.16623140001796904,0.11084587244554604
Latin America and the Caribbean,13569107531.604744,367,220584877.94395,367,0.1027481412819729,0.10953868875420285
Northern Africa and Western Asia,4134605876.772099,80,83418939.76188,80,0.03130810687308435,0.04142442294300885
Northern America,8901712815.48063,247,131938633.7179,247,0.06740564505706913,0.06551847555548268
Sub-Saharan Africa,6859256037.710805,212,156802192.46027,212,0.0519397319838754,0.07786529482880723
