uc_id,mean_tb_night_anom_DHD,mean_tb_night_anom_extreme_DHD,mean_tb_night_anom_moist_low_demand,mean_dT_night_anom_DHD,mean_dT_night_anom_extreme_DHD,mean_dT_night_anom_moist_low_demand,mean_tb_day_anom_DHD,mean_tb_day_anom_extreme_DHD,mean_tb_day_anom_moist_low_demand,n_rows_DHD,n_rows_extreme_DHD,n_rows_moist_low_demand,tb_penalty_DHD_minus_MLD,tb_penalty_extremeDHD_minus_MLD,mean_t2m_c,mean_ring_veg,country,wb_income,un_sdg_reg,population_2025,developing_economy,baseline_heat_tertile,baseline_veg_tertile
1000,0.780426332834494,1.4676700546332453,-1.5655784662948709,-0.015591332766702045,0.08156318581225586,0.030469778108572022,1.8653697731845211,2.177219573449081,-1.8604893487708725,49,44,181,2.346004799129365,3.033248520928116,15.914209270056668,1052.430056710775,Azerbaijan,Upper Middle,Northern Africa and Western Asia,52131.47162,1,middle,middle
10001,0.20730882573479822,0.675081975364083,-0.7951538949520871,-0.05399260312282219,-0.04975870309792187,0.058484200137333756,1.3264973402193327,1.870302972570914,-1.7977416129669943,56,42,139,1.0024627206868852,1.47023587031617,15.08981272276906,1013.6068052930057,China,Upper Middle,Eastern and South-Eastern Asia,204649.6776,1,middle,middle
10003,1.1917032706567285,2.33473416284802,-1.0834038359816685,-0.29657519369149404,-0.2954700011416,0.15236079882075826,1.361813676669396,1.7470019895750186,-1.5630790089426385,60,51,169,2.275107106638397,3.4181379988296885,17.54773037245242,1034.2939508506615,China,Upper Middle,Eastern and South-Eastern Asia,278584.9138,1,middle,middle
10006,-0.15912946329556174,0.005535598603562468,-0.15170847920795488,-0.06567399838284058,-0.12944918715383943,0.07152602726431541,1.4584267466947736,2.169639287624554,-1.4510349407261092,60,51,184,-0.007420984087606858,0.15724407781151736,26.919688541905607,1245.906427221172,India,Lower Middle,Central and Southern Asia,765930.3664,1,hotter,higher_veg
10008,-0.19356367519798034,0.24021195013581548,-0.2612534214871873,-0.012950142407313105,-0.08185790669555151,0.08876211111170251,1.4914782962334259,1.7238210377485268,-1.938905886435982,58,41,186,0.06768974628920693,0.5014653716230028,25.63795368649939,1150.2570888468808,India,Lower Middle,Central and Southern Asia,3812495.5,1,hotter,middle
10019,0.9909593991272335,0.6684469779245594,-0.8625158811126504,-0.13422411962041086,-0.06503166269716588,0.12280702180558138,1.0116158170166942,2.393675842645863,-1.8676040260059465,57,54,171,1.853475280239884,1.53096285903721,16.123535534234364,982.7731568998109,China,Upper Middle,Eastern and South-Eastern Asia,160999.6585,1,middle,lower_veg
10023,0.5789670827638902,1.7181941811098274,-1.0132146664942447,-0.013322162405901597,-0.06590764873179134,0.01646394629473402,1.503717028484972,1.9234870466180107,-1.0445089092882898,62,54,180,1.592181749258135,2.7314088476040723,19.214031518496643,1075.4782608695652,China,Upper Middle,Eastern and South-Eastern Asia,965075.588,1,middle,middle
10027,1.5727027999892582,2.3652862568834565,-1.5471059488852204,-0.3743973626615404,-0.24443546653333534,0.16589369331080764,1.8601401756022138,2.1575358072738577,-1.7513438087920254,48,57,173,3.119808748874479,3.912392205768677,18.02231750122523,1048.6871455576559,China,Upper Middle,Eastern and South-Eastern Asia,771016.1691,1,middle,middle
10029,1.3043744825365675,1.9142430367141812,-0.8703306528755349,-0.13371523742213243,-0.1452868242630587,0.11706462841396423,1.7634414125976727,1.9399269992061678,-1.9239519018337026,58,48,165,2.1747051354121023,2.784573689589716,17.24530747984124,1032.6266540642723,China,Upper Middle,Eastern and South-Eastern Asia,812534.4531,1,middle,middle
10041,1.1749761738790474,2.295079203021315,-1.4474941671112282,-0.07611298123830719,-0.10449844496975742,0.04179351840261551,1.3021412120590496,2.7512953333694994,-1.3068339748136633,40,51,161,2.622470340990276,3.7425733701325434,17.7013236553678,980.3081285444234,China,Upper Middle,Eastern and South-Eastern Asia,480290.4264,1,middle,lower_veg
10043,0.11021630608750874,1.2875903995348796,-0.9476005642061297,-0.08552393557364774,-0.10606853551988868,0.1167261109586157,0.940120423911941,2.1544973001276357,-1.7114847107069093,64,43,155,1.0578168702936384,2.2351909637410095,15.131001606523713,902.804347826087,China,Upper Middle,Eastern and South-Eastern Asia,123555.7913,1,middle,lower_veg
10050,0.08317756837743732,0.2125891454273227,-0.08508032897082109,0.002007491332200315,0.006936603050233014,-0.0030432081227279154,1.486640201519145,2.9784465209112168,-1.6057601132944843,69,58,202,0.1682578973482584,0.2976694743981438,27.92695617976248,968.8034026465028,India,Lower Middle,Central and Southern Asia,192842.2811,1,hotter,lower_veg
10051,0.7524586027999137,1.0699600898508623,-0.9522512480185694,-0.1689737396462373,-0.1949468003069554,0.09240737224030629,2.0422748874448806,2.3781810356473376,-2.107014107800985,63,41,157,1.704709850818483,2.0222113378694315,15.664813505915667,1104.3846880907372,China,Upper Middle,Eastern and South-Eastern Asia,334148.2745,1,middle,middle
