model,outcome,term,estimate,std_error_cluster_city,ci95_low,ci95_high,t_stat,p_value,n_obs,n_cities,n_times,water_support_tertile
water_support_Low,differential_decay_1e4_h,dhd_x_built_form_storage_score,-0.7557346218578944,0.06733962198854423,-0.8877202809554411,-0.6237489627603477,-11.222733355801424,3.153695522486503e-29,214287,923,1057,Low
water_support_Low,differential_decay_1e4_h,extreme_x_built_form_storage_score,-0.8762064698687576,0.08481584472408873,-1.0424455255279717,-0.7099674142095437,-10.330693194403855,5.11893080625784e-25,214287,923,1057,Low
water_support_Intermediate,differential_decay_1e4_h,dhd_x_built_form_storage_score,-0.5235813419662754,0.05752065771746551,-0.6363218310925077,-0.41084085284004296,-9.102492265266564,8.82822947855406e-20,204917,922,1057,Intermediate
water_support_Intermediate,differential_decay_1e4_h,extreme_x_built_form_storage_score,-0.5863046981795343,0.06996313097380878,-0.7234324348881995,-0.44917696147086916,-8.38019525454088,5.283997261881481e-17,204917,922,1057,Intermediate
water_support_High,differential_decay_1e4_h,dhd_x_built_form_storage_score,-0.2813310540280633,0.03248842663763066,-0.3450083702378194,-0.2176537378183072,-8.65942377468669,4.741549823304003e-18,204409,923,1056,High
water_support_High,differential_decay_1e4_h,extreme_x_built_form_storage_score,-0.2635750335902688,0.03802479374231306,-0.3381036293252024,-0.1890464378553352,-6.931662414172912,4.15923562573274e-12,204409,923,1056,High
