ring_definition,contrast,outcome,n_pairs,matched_high_minus_low_shift,bootstrap_ci95_low,bootstrap_ci95_high,p_value
ring10_20,dhd_minus_mld,core_minus_ring_tb_night_anom,1328,0.04238887662328797,0.025406207078385933,0.05986891053133583,1.218389362530411e-06
ring10_20,dhd_minus_mld,night_positive,1328,0.022551739825150036,0.013427599064387787,0.031953759548098766,1.5036302328780783e-06
ring10_20,extreme_dhd_minus_mld,core_minus_ring_tb_night_anom,1325,0.042429773066148646,0.02455590910854563,0.06132839693462169,6.699409751704915e-06
ring10_20,extreme_dhd_minus_mld,night_positive,1325,0.024025207705959048,0.01389316315886671,0.03448487780878361,5.8005826948055005e-06
ring20_30,dhd_minus_mld,core_minus_ring_tb_night_anom,1228,0.0322809170019063,0.010334070295103734,0.05388163826092794,0.0038576957387937557
ring20_30,dhd_minus_mld,night_positive,1228,0.008634391998913523,-0.002902643895878018,0.01968432069498799,0.11613791155711253
ring20_30,extreme_dhd_minus_mld,core_minus_ring_tb_night_anom,1223,0.03427962139869726,0.010119554309378614,0.05768082874598984,0.004904264699008333
ring20_30,extreme_dhd_minus_mld,night_positive,1223,0.01676533588119938,0.0052542360998438205,0.02836848889163518,0.005841339198024355
ring5_15,dhd_minus_mld,core_minus_ring_tb_night_anom,1162,0.05208825447366903,0.033266070174346456,0.07001346653188786,2.2191416126265465e-08
ring5_15,dhd_minus_mld,night_positive,1162,0.021911238594056758,0.011681731271861609,0.032970315743140334,4.940310759857805e-05
ring5_15,extreme_dhd_minus_mld,core_minus_ring_tb_night_anom,1160,0.05594946141467124,0.036733218188769325,0.07556802080463322,3.322036699045591e-08
ring5_15,extreme_dhd_minus_mld,night_positive,1160,0.029021939748480444,0.017237678077432043,0.040193660911097315,1.547303163423332e-06
