high_uc_id,low_uc_id,un_sdg_reg,wb_income,population_quintile,night_temperature_tercile,soil_moisture_tercile,match_distance
5700,7337,Central and Southern Asia,Lower Middle,2,1,0,0.698302399204743
6359,6676,Central and Southern Asia,Lower Middle,2,1,0,1.1572581098197559
7380,1126,Central and Southern Asia,Lower Middle,2,1,0,1.3931263809150385
11566,11512,Central and Southern Asia,Lower Middle,2,1,1,0.6355271607315021
11610,7009,Central and Southern Asia,Lower Middle,2,1,2,3.965010897029738
11616,11534,Central and Southern Asia,Lower Middle,2,1,2,0.8473266131323532
10052,10310,Central and Southern Asia,Lower Middle,2,2,0,0.4862895590152838
10180,9818,Central and Southern Asia,Lower Middle,2,2,0,0.8460574347323024
10220,10242,Central and Southern Asia,Lower Middle,2,2,0,0.6025166970681991
10764,10544,Central and Southern Asia,Lower Middle,2,2,0,0.522903811233432
10830,10112,Central and Southern Asia,Lower Middle,2,2,0,0.6807706382628568
5443,6452,Central and Southern Asia,Lower Middle,2,2,0,0.6100018087960077
5999,7250,Central and Southern Asia,Lower Middle,2,2,0,0.2722491013858277
6407,5825,Central and Southern Asia,Lower Middle,2,2,0,0.4442395271095033
6737,6752,Central and Southern Asia,Lower Middle,2,2,0,0.30706100886084076
6926,5884,Central and Southern Asia,Lower Middle,2,2,0,0.5887035651516876
7214,7536,Central and Southern Asia,Lower Middle,2,2,0,0.49653802637077243
7315,4799,Central and Southern Asia,Lower Middle,2,2,0,0.4227582134128642
7359,7702,Central and Southern Asia,Lower Middle,2,2,0,0.3629278602848483
7409,6496,Central and Southern Asia,Lower Middle,2,2,0,0.22912274018827733
7437,5088,Central and Southern Asia,Lower Middle,2,2,0,0.4751138696440371
8162,6647,Central and Southern Asia,Lower Middle,2,2,0,0.6344989628751122
8300,7745,Central and Southern Asia,Lower Middle,2,2,0,0.6378786828358197
8553,9440,Central and Southern Asia,Lower Middle,2,2,0,0.6467978433092704
9646,10166,Central and Southern Asia,Lower Middle,2,2,0,0.9948920812493343
9740,10222,Central and Southern Asia,Lower Middle,2,2,0,1.3084906782132262
9786,10252,Central and Southern Asia,Lower Middle,2,2,0,0.7030786693065436
9804,10064,Central and Southern Asia,Lower Middle,2,2,0,0.7640648179476931
9892,9770,Central and Southern Asia,Lower Middle,2,2,0,0.839600083854062
9904,9148,Central and Southern Asia,Lower Middle,2,2,0,0.9941424963784948
10162,9906,Central and Southern Asia,Lower Middle,2,2,1,0.7047631152869323
10628,10370,Central and Southern Asia,Lower Middle,2,2,1,0.5330316394083549
10984,11090,Central and Southern Asia,Lower Middle,2,2,1,0.7943707007711198
11204,11164,Central and Southern Asia,Lower Middle,2,2,1,0.6893504728161132
11300,11248,Central and Southern Asia,Lower Middle,2,2,1,0.5050647070111631
11316,11340,Central and Southern Asia,Lower Middle,2,2,1,0.48373948389123356
11326,11304,Central and Southern Asia,Lower Middle,2,2,1,0.2750707847369615
11334,7492,Central and Southern Asia,Lower Middle,2,2,1,0.8165525704937378
11338,11296,Central and Southern Asia,Lower Middle,2,2,1,0.3022897355503588
11378,1347,Central and Southern Asia,Lower Middle,2,2,1,0.913501888374211
11392,11264,Central and Southern Asia,Lower Middle,2,2,1,0.48698025591836425
11470,11478,Central and Southern Asia,Lower Middle,2,2,1,0.745667669185067
11536,2530,Central and Southern Asia,Lower Middle,2,2,1,0.5693793510687468
3956,4691,Central and Southern Asia,Lower Middle,2,2,1,0.4587152108146814
5089,5723,Central and Southern Asia,Lower Middle,2,2,1,0.4179872842462934
5394,4241,Central and Southern Asia,Lower Middle,2,2,1,0.38573922144031414
5635,6345,Central and Southern Asia,Lower Middle,2,2,1,0.4989306144042845
6230,6213,Central and Southern Asia,Lower Middle,2,2,1,0.4012665798255295
6247,6126,Central and Southern Asia,Lower Middle,2,2,1,0.39219918254245056
6886,7520,Central and Southern Asia,Lower Middle,2,2,1,0.72066825544203
7100,4279,Central and Southern Asia,Lower Middle,2,2,1,0.4320252200565277
9736,10144,Central and Southern Asia,Lower Middle,2,2,1,0.9471762755718486
9760,11182,Central and Southern Asia,Lower Middle,2,2,1,1.216240456368529
10464,10114,Central and Southern Asia,Lower Middle,2,2,2,0.5686419400310957
11486,11504,Central and Southern Asia,Lower Middle,2,2,2,1.0755139092508772
11488,11516,Central and Southern Asia,Lower Middle,2,2,2,0.6201819737710661
11526,11466,Central and Southern Asia,Lower Middle,2,2,2,0.490696785687386
11530,11388,Central and Southern Asia,Lower Middle,2,2,2,1.1407129557451368
11550,11576,Central and Southern Asia,Lower Middle,2,2,2,0.38843358536184247
7328,8890,Central and Southern Asia,Lower Middle,2,2,2,1.221560246426149
9100,9592,Central and Southern Asia,Lower Middle,2,2,2,1.1231913260365223
9358,9512,Central and Southern Asia,Lower Middle,2,2,2,1.1266690190978617
9396,9380,Central and Southern Asia,Lower Middle,2,2,2,1.07546211055292
9604,9872,Central and Southern Asia,Lower Middle,2,2,2,0.9566202288037371
9672,9294,Central and Southern Asia,Lower Middle,2,2,2,0.7279020556602401
4726,2381,Central and Southern Asia,Lower Middle,3,0,0,0.830556092586551
7474,2528,Central and Southern Asia,Lower Middle,3,0,2,2.0580849921241016
4994,1635,Central and Southern Asia,Lower Middle,3,1,0,1.4844015862611883
5025,3422,Central and Southern Asia,Lower Middle,3,1,0,1.5559397948222364
5844,890,Central and Southern Asia,Lower Middle,3,1,0,1.8349330885772075
7399,3821,Central and Southern Asia,Lower Middle,3,1,0,1.9726413206637785
7527,6968,Central and Southern Asia,Lower Middle,3,1,0,0.17446987889273186
7553,1902,Central and Southern Asia,Lower Middle,3,1,0,1.8963492638229316
10814,10366,Central and Southern Asia,Lower Middle,3,1,1,0.9888400145308385
8350,6279,Central and Southern Asia,Lower Middle,3,1,1,1.155984467849317
9336,6753,Central and Southern Asia,Lower Middle,3,1,2,3.2652307620739993
10060,10754,Central and Southern Asia,Lower Middle,3,2,0,1.1989908330850805
10190,10362,Central and Southern Asia,Lower Middle,3,2,0,1.1444884940057714
10204,10068,Central and Southern Asia,Lower Middle,3,2,0,1.3212104820975805
10208,10302,Central and Southern Asia,Lower Middle,3,2,0,0.7384675851333843
10266,10194,Central and Southern Asia,Lower Middle,3,2,0,0.5656709338030588
10466,167,Central and Southern Asia,Lower Middle,3,2,0,0.9724004409190573
10812,10338,Central and Southern Asia,Lower Middle,3,2,0,0.43239841270403684
5565,8484,Central and Southern Asia,Lower Middle,3,2,0,0.23855113408328096
5588,7483,Central and Southern Asia,Lower Middle,3,2,0,0.5767560674198097
5701,8754,Central and Southern Asia,Lower Middle,3,2,0,0.34424656151712973
6280,8826,Central and Southern Asia,Lower Middle,3,2,0,0.8203747051196634
6602,8544,Central and Southern Asia,Lower Middle,3,2,0,0.875103514657269
6826,5087,Central and Southern Asia,Lower Middle,3,2,0,0.7285603200292077
7189,7072,Central and Southern Asia,Lower Middle,3,2,0,0.6167005729441342
7446,7580,Central and Southern Asia,Lower Middle,3,2,0,0.29590617923397355
7491,6088,Central and Southern Asia,Lower Middle,3,2,0,0.6084349569211673
7562,6125,Central and Southern Asia,Lower Middle,3,2,0,0.41430502160626825
7590,8434,Central and Southern Asia,Lower Middle,3,2,0,0.45110957842720967
7654,5492,Central and Southern Asia,Lower Middle,3,2,0,0.43784006374451984
7857,8514,Central and Southern Asia,Lower Middle,3,2,0,0.6634246149478559
7899,7293,Central and Southern Asia,Lower Middle,3,2,0,0.1665827271938857
7906,5980,Central and Southern Asia,Lower Middle,3,2,0,0.4166997118296936
7976,6841,Central and Southern Asia,Lower Middle,3,2,0,0.37278178714062743
8019,7327,Central and Southern Asia,Lower Middle,3,2,0,0.49759566270968014
8448,9936,Central and Southern Asia,Lower Middle,3,2,0,0.7443409404761906
8618,8852,Central and Southern Asia,Lower Middle,3,2,0,0.33136616396119145
9448,10386,Central and Southern Asia,Lower Middle,3,2,0,1.4382382876037014
9664,9896,Central and Southern Asia,Lower Middle,3,2,0,1.1230149779415939
9666,9926,Central and Southern Asia,Lower Middle,3,2,0,1.5051466132959972
9720,8794,Central and Southern Asia,Lower Middle,3,2,0,3.284522617648612
9806,10856,Central and Southern Asia,Lower Middle,3,2,0,1.4494671377744324
9810,10276,Central and Southern Asia,Lower Middle,3,2,0,1.3521221367009084
9850,9836,Central and Southern Asia,Lower Middle,3,2,0,0.8071106411535911
9918,10320,Central and Southern Asia,Lower Middle,3,2,0,1.5752882593500876
9954,9020,Central and Southern Asia,Lower Middle,3,2,0,0.906396561964591
10050,9792,Central and Southern Asia,Lower Middle,3,2,1,1.430919487839047
10106,10432,Central and Southern Asia,Lower Middle,3,2,1,0.31863839569951435
10244,3684,Central and Southern Asia,Lower Middle,3,2,1,2.019305927619493
10296,10268,Central and Southern Asia,Lower Middle,3,2,1,0.6787808664026544
10734,11008,Central and Southern Asia,Lower Middle,3,2,1,0.34804173124013815
10774,10826,Central and Southern Asia,Lower Middle,3,2,1,0.2595033915784084
10834,11202,Central and Southern Asia,Lower Middle,3,2,1,0.46584059702508673
10862,8270,Central and Southern Asia,Lower Middle,3,2,1,0.3175857686363093
10864,7283,Central and Southern Asia,Lower Middle,3,2,1,1.036200876856404
10912,10976,Central and Southern Asia,Lower Middle,3,2,1,0.3151381504199878
11108,9952,Central and Southern Asia,Lower Middle,3,2,1,1.7049282516675337
11266,7438,Central and Southern Asia,Lower Middle,3,2,1,0.8286097158504899
11294,11128,Central and Southern Asia,Lower Middle,3,2,1,0.5987174215702491
11320,10104,Central and Southern Asia,Lower Middle,3,2,1,1.1968673612488494
1133,5612,Central and Southern Asia,Lower Middle,3,2,1,0.44411931393758497
11362,11176,Central and Southern Asia,Lower Middle,3,2,1,0.556639532662141
11410,11284,Central and Southern Asia,Lower Middle,3,2,1,0.6172146378050274
11430,11396,Central and Southern Asia,Lower Middle,3,2,1,0.41516879090754644
11436,4764,Central and Southern Asia,Lower Middle,3,2,1,0.15632669694891463
169,1447,Central and Southern Asia,Lower Middle,3,2,1,0.5948124691818995
1911,5207,Central and Southern Asia,Lower Middle,3,2,1,0.46423026276648816
2232,9972,Central and Southern Asia,Lower Middle,3,2,1,0.5715868860109268
2660,11290,Central and Southern Asia,Lower Middle,3,2,1,0.5073547968589107
3207,11048,Central and Southern Asia,Lower Middle,3,2,1,0.6747021140281756
3582,10926,Central and Southern Asia,Lower Middle,3,2,1,0.8754431238588257
4506,3824,Central and Southern Asia,Lower Middle,3,2,1,0.4021740256436628
5494,11448,Central and Southern Asia,Lower Middle,3,2,1,0.4711238594224642
6018,7262,Central and Southern Asia,Lower Middle,3,2,1,0.6470745081389674
6313,6179,Central and Southern Asia,Lower Middle,3,2,1,0.7206453102384843
6408,9586,Central and Southern Asia,Lower Middle,3,2,1,1.0076149158934564
6498,5944,Central and Southern Asia,Lower Middle,3,2,1,0.40231003589130937
7022,5290,Central and Southern Asia,Lower Middle,3,2,1,0.6489086221975485
7284,7048,Central and Southern Asia,Lower Middle,3,2,1,0.40250368893928
7350,7430,Central and Southern Asia,Lower Middle,3,2,1,1.017584711445814
7457,9494,Central and Southern Asia,Lower Middle,3,2,1,1.4211945991433206
7484,9616,Central and Southern Asia,Lower Middle,3,2,1,0.8804085870631767
7493,9168,Central and Southern Asia,Lower Middle,3,2,1,1.4171700746520417
8466,8662,Central and Southern Asia,Lower Middle,3,2,1,1.6142335199147229
9462,3732,Central and Southern Asia,Lower Middle,3,2,1,1.2686613810007692
9778,8704,Central and Southern Asia,Lower Middle,3,2,1,1.8243284586886126
10368,7099,Central and Southern Asia,Lower Middle,3,2,2,1.270731819007798
11366,7338,Central and Southern Asia,Lower Middle,3,2,2,0.7724841606133156
11450,11520,Central and Southern Asia,Lower Middle,3,2,2,1.2778363209877412
