covariate,standardized_difference_before,standardized_difference_after,absolute_standardized_difference_after
log_population,0.41382396016072615,0.0713521036433954,0.0713521036433954
median_true_night_t2m_c,-0.3013262449801876,-0.017818027349482096,0.017818027349482096
median_true_night_wetbulb_c,-0.2341751234734328,0.0048649321612085385,0.0048649321612085385
mean_vpd_kpa,-0.34469599037490944,0.00912117071123883,0.00912117071123883
mean_rzsm,0.3243032835296599,0.03781978592880807,0.03781978592880807
mean_log1p_pr_sum,0.0811479541225386,0.014180138386088158,0.014180138386088158
mean_gradient_mld,-0.19191997866722058,-0.07176099114286126,0.07176099114286126
valid_core_ring_fraction,0.2495715029393175,0.008762547452515928,0.008762547452515928
