contrast,storage_quartile,n_cities,mean_differential_decay_shift_1e4_h,standard_error
dhd_minus_mld,Q1 lowest,693,-0.14789352831635236,0.048564492269423665
dhd_minus_mld,Q2,692,-0.7250983409247754,0.061681727883536645
dhd_minus_mld,Q3,692,-1.2463014959942984,0.06623385082967596
dhd_minus_mld,Q4 highest,692,-1.374757344616292,0.06362081235284031
extreme_dhd_minus_mld,Q1 lowest,690,-0.17421275554057852,0.057841326159498975
extreme_dhd_minus_mld,Q2,691,-0.8484033349281038,0.07132054408489044
extreme_dhd_minus_mld,Q3,692,-1.5199787036277228,0.07758981363990702
extreme_dhd_minus_mld,Q4 highest,692,-1.6067375129549433,0.07446617085937848
