model,outcome,term,estimate,std_error_cluster_city,ci95_low,ci95_high,t_stat,p_value,n_obs,n_cities,n_times
differential_decay_high_green,differential_decay_1e4_h,is_dhd,0.553263815817201,0.08076418791138289,0.3949660075108905,0.7115616241235114,6.850360662627601,7.366403116386405e-12,1162516,5440,1057
differential_decay_high_green,differential_decay_1e4_h,is_extreme_dhd,0.5953124532296569,0.08841806093260152,0.4220130538017579,0.7686118526575558,6.732928170449768,1.6628216390551726e-11,1162516,5440,1057
differential_decay_high_green,differential_decay_1e4_h,z_t2m_true_night_pct_rank,0.29162924472021534,0.02107185297352561,0.25032841289210517,0.3329300765483255,13.839753204742571,1.467094215186922e-43,1162516,5440,1057
differential_decay_high_green,differential_decay_1e4_h,z_vpd_pct,-0.19777511660700856,0.023439768407281843,-0.24371706268528098,-0.15183317052873613,-8.437588340060875,3.239522613324476e-17,1162516,5440,1057
differential_decay_high_green,differential_decay_1e4_h,z_rzsm_pct,0.26748443700964414,0.022474148124460656,0.22343510668570127,0.311533767333587,11.901872121173596,1.1572158012958157e-32,1162516,5440,1057
differential_decay_high_green,differential_decay_1e4_h,dhd_x_high_green,-0.3009647809647328,0.045787600276094464,-0.39070847750587795,-0.2112210844235876,-6.573062994128246,4.9290591806278e-11,1162516,5440,1057
differential_decay_high_green,differential_decay_1e4_h,extreme_x_high_green,-0.4331774466943747,0.052179078729496696,-0.5354484410041882,-0.3309064523845612,-8.30174578091009,1.0259254976934961e-16,1162516,5440,1057
differential_decay_continuous_green_support,differential_decay_1e4_h,is_dhd,0.4082509636317418,0.0768764102466563,0.25757319954829544,0.5589287277151882,5.310484221647153,1.093343503738787e-07,1162516,5440,1057
differential_decay_continuous_green_support,differential_decay_1e4_h,is_extreme_dhd,0.38677451440557326,0.08398770124325264,0.2221586199687981,0.5513904088423485,4.605132759680641,4.122028075357688e-06,1162516,5440,1057
differential_decay_continuous_green_support,differential_decay_1e4_h,z_t2m_true_night_pct_rank,0.2918436375126018,0.021084170083764328,0.2505186641484237,0.33316861087677985,13.84183661738402,1.4251807362226908e-43,1162516,5440,1057
differential_decay_continuous_green_support,differential_decay_1e4_h,z_vpd_pct,-0.1970395611784878,0.023437848723870457,-0.2429777446772739,-0.15110137767970172,-8.406896191705997,4.2100338758710944e-17,1162516,5440,1057
differential_decay_continuous_green_support,differential_decay_1e4_h,z_rzsm_pct,0.2679168123901178,0.022477400963210367,0.22386110650222546,0.3119725182780101,11.919385734526319,9.379753731843207e-33,1162516,5440,1057
differential_decay_continuous_green_support,differential_decay_1e4_h,dhd_x_green_support,-0.1938405897471889,0.02323419491137659,-0.23937961177348702,-0.1483015677208908,-8.342901076906914,7.248980376703683e-17,1162516,5440,1057
differential_decay_continuous_green_support,differential_decay_1e4_h,extreme_x_green_support,-0.26280412310621104,0.027393802245794834,-0.31649597550796893,-0.20911227070445315,-9.593561373779485,8.509590013740807e-22,1162516,5440,1057
differential_decay_built_form_storage_score,differential_decay_1e4_h,is_dhd,0.5217022369879364,0.1048381154972077,0.3162195306134093,0.7271849433624635,4.976264925344176,6.482291364742061e-07,623842,2769,1057
differential_decay_built_form_storage_score,differential_decay_1e4_h,is_extreme_dhd,0.44186078397425294,0.11449157679471716,0.2174572934566073,0.6662642744918985,3.8593300602934937,0.00011369829012840444,623842,2769,1057
differential_decay_built_form_storage_score,differential_decay_1e4_h,z_t2m_true_night_pct_rank,0.4118626607389274,0.028811657295782802,0.3553918124391931,0.4683335090386617,14.295000683602199,2.3510349040390838e-46,623842,2769,1057
differential_decay_built_form_storage_score,differential_decay_1e4_h,z_vpd_pct,-0.2500859047723407,0.032171127511119176,-0.3131413146941343,-0.18703049485054712,-7.773613302359531,7.627836286357382e-15,623842,2769,1057
differential_decay_built_form_storage_score,differential_decay_1e4_h,z_rzsm_pct,0.32031445553755405,0.030723821857242848,0.26009576469735807,0.38053314637775004,10.425605806005642,1.8944816580769365e-25,623842,2769,1057
differential_decay_built_form_storage_score,differential_decay_1e4_h,dhd_x_built_form_storage_score,-0.4652067053128153,0.027171238582259196,-0.5184623329340433,-0.4119510776915873,-17.121291836013718,1.0296480651718536e-65,623842,2769,1057
differential_decay_built_form_storage_score,differential_decay_1e4_h,extreme_x_built_form_storage_score,-0.5030648644860695,0.03279398163639488,-0.5673410684934035,-0.4387886604787355,-15.340158144376291,4.121895896746138e-53,623842,2769,1057
differential_decay_z_ventilation_obstruction_index,differential_decay_1e4_h,is_dhd,0.506569189583096,0.10452902537482513,0.3016922998484388,0.7114460793177533,4.846205996531741,1.2584485060283196e-06,623842,2769,1057
differential_decay_z_ventilation_obstruction_index,differential_decay_1e4_h,is_extreme_dhd,0.4273375135530965,0.11416981956380606,0.20356466720803665,0.6511103598981564,3.742998939525086,0.00018183699665501023,623842,2769,1057
differential_decay_z_ventilation_obstruction_index,differential_decay_1e4_h,z_t2m_true_night_pct_rank,0.4136401883502013,0.028769156215372686,0.35725264216807084,0.4700277345323317,14.37790476903783,7.121813466178579e-47,623842,2769,1057
differential_decay_z_ventilation_obstruction_index,differential_decay_1e4_h,z_vpd_pct,-0.24838283490115987,0.03216146178571703,-0.31141930000116524,-0.1853463698011545,-7.722995818911042,1.1362690255272772e-14,623842,2769,1057
differential_decay_z_ventilation_obstruction_index,differential_decay_1e4_h,z_rzsm_pct,0.31603038605545364,0.030701913909897453,0.2558546347920546,0.37620613731885266,10.293507661539437,7.537930817704293e-25,623842,2769,1057
