null_name,statistic,observed_slope,null_mean_slope,null_ci95_low,null_ci95_high,empirical_p_one_sided,n_simulations
city-year circular shift,max_city_count,2.321146245059288,0.7136778656126482,0.6011610671936758,0.8162549407114623,0.001996007984031936,500
city-year circular shift,p90_city_count,1.468379446640316,0.6347361660079052,0.5926259881422925,0.672455533596838,0.001996007984031936,500
city-year circular shift,max_population,1874172.1579465815,885513.7842638674,546339.0384827543,1278010.6656823808,0.001996007984031936,500
region-year block shift,max_city_count,2.321146245059288,1.8425612648221346,1.437030632411067,2.3655385375494067,0.03992015968063872,500
region-year block shift,p90_city_count,1.468379446640316,1.261420948616601,1.0518033596837946,1.510758399209486,0.05189620758483034,500
region-year block shift,max_population,1874172.1579465815,1240531.178329371,779315.8754948402,1795711.7486186048,0.015968063872255488,500
DHD and true-night-heat timing preserved,max_city_count,2.321146245059288,2.202652173913043,1.917885375494071,2.482312252964427,0.18562874251497005,500
DHD and true-night-heat timing preserved,p90_city_count,1.468379446640316,1.4635296442687749,1.3507658102766797,1.5850049407114626,0.47904191616766467,500
DHD and true-night-heat timing preserved,max_population,1874172.1579465815,1529075.7337001285,1124795.3857316321,1937206.506255077,0.059880239520958084,500
