model,outcome,term,estimate,std_error_cluster_city,ci95_low,ci95_high,t_stat,p_value,n_obs,n_cities,n_times
coupled_water_storage,differential_decay_1e4_h,is_dhd,0.556642376632264,0.1055194432806639,0.3498242678021628,0.7634604854623652,5.275258846388047,1.325688349654281e-07,623613,2768,1057
coupled_water_storage,differential_decay_1e4_h,is_extreme_dhd,0.4735686214500544,0.11524197637102086,0.2476943477628535,0.6994428951372553,4.109341373367314,3.967891587523739e-05,623613,2768,1057
coupled_water_storage,differential_decay_1e4_h,z_t2m_true_night_pct_rank,0.4087241125879335,0.028804288335613704,0.35226770745013064,0.4651805177257364,14.189696611340535,1.061168255594524e-45,623613,2768,1057
coupled_water_storage,differential_decay_1e4_h,z_vpd_pct,-0.2503999314242468,0.032173126173118696,-0.31345925872355945,-0.1873406041249342,-7.782890915756302,7.088575207906585e-15,623613,2768,1057
coupled_water_storage,differential_decay_1e4_h,z_rzsm_pct,0.31957260202520393,0.030727593267804897,0.2593465192203063,0.37979868483010154,10.400183289331641,2.474567453992718e-25,623613,2768,1057
coupled_water_storage,differential_decay_1e4_h,dhd_x_built_form_storage_score,-0.5171730253469884,0.0310325502603408,-0.5779968238572564,-0.4563492268367204,-16.66550190069067,2.3352013722218048e-62,623613,2768,1057
coupled_water_storage,differential_decay_1e4_h,extreme_x_built_form_storage_score,-0.5680914600790311,0.03864429125111481,-0.6438342709312161,-0.49234864922684607,-14.7005273401836,6.395967901516915e-49,623613,2768,1057
coupled_water_storage,differential_decay_1e4_h,dhd_x_water_support,0.24612038494549543,0.02945979031192713,0.18837919593411825,0.30386157395687263,8.35445135011198,6.573753388450142e-17,623613,2768,1057
coupled_water_storage,differential_decay_1e4_h,extreme_x_water_support,0.32969508739167586,0.03549510450534014,0.2601246825612092,0.3992654922221425,9.288466451537682,1.5652724086260766e-20,623613,2768,1057
coupled_water_storage,differential_decay_1e4_h,dhd_x_storage_x_water_support,0.20056505097854738,0.0247918905022671,0.15197294559410385,0.2491571563629909,8.089945821606733,5.96912771543535e-16,623613,2768,1057
coupled_water_storage,differential_decay_1e4_h,extreme_x_storage_x_water_support,0.24069993071270643,0.031316092708944976,0.17932038900317426,0.3020794724222386,7.6861418488505775,1.516383776393168e-14,623613,2768,1057
