minimum_intervals_per_state,contrast,quantile,n_pairs,matched_high_minus_low_shift,std_error,bootstrap_ci95_low,bootstrap_ci95_high,p_value,p_value_holm_within_contrast
5,dhd_minus_mld,0.5,1357,0.03628028778999799,0.0077974722561745,0.0208862192174668,0.05150567401765386,3.5942766736607933e-06,3.5942766736607933e-06
5,dhd_minus_mld,0.75,1357,0.04765929235059197,0.008725781608942945,0.031099693852632,0.06382954376273423,5.597439405126752e-08,1.3009872302477376e-07
5,dhd_minus_mld,0.9,1357,0.07159571370625935,0.012450214203150425,0.046314938763667705,0.09595984982567442,1.0976537420510292e-08,4.390614968204117e-08
5,dhd_minus_mld,0.95,1357,0.09579245827065082,0.017391473284992708,0.06267154889751479,0.1316442588918109,4.336624100825792e-08,1.3009872302477376e-07
5,extreme_dhd_minus_mld,0.5,1357,0.03837907786713409,0.00914097927062698,0.020653525177676133,0.055494980225460754,2.861050926974614e-05,2.861050926974614e-05
5,extreme_dhd_minus_mld,0.75,1357,0.05650314395515881,0.010036675917167661,0.03642699969026819,0.07638103712655771,2.1916113042523372e-08,6.574833912757012e-08
5,extreme_dhd_minus_mld,0.9,1357,0.07945577704239143,0.013869196578731993,0.05146685400471008,0.10733941233011224,1.2433564301910874e-08,4.9734257207643496e-08
5,extreme_dhd_minus_mld,0.95,1357,0.09622618707673442,0.01964766300023719,0.057046987360437756,0.13608699967809973,1.0867708050222871e-06,2.1735416100445742e-06
10,dhd_minus_mld,0.5,1357,0.03628028778999799,0.0077974722561745,0.021173004784717207,0.0506445091778658,3.5942766736607933e-06,3.5942766736607933e-06
10,dhd_minus_mld,0.75,1357,0.04765929235059197,0.008725781608942945,0.031578220509012836,0.06447041157854912,5.597439405126752e-08,1.3009872302477376e-07
10,dhd_minus_mld,0.9,1357,0.07159571370625935,0.012450214203150425,0.04822746183619998,0.09583642839458804,1.0976537420510292e-08,4.390614968204117e-08
10,dhd_minus_mld,0.95,1357,0.09579245827065082,0.017391473284992708,0.06198267121542902,0.1287454893758569,4.336624100825792e-08,1.3009872302477376e-07
10,extreme_dhd_minus_mld,0.5,1356,0.03857380971838366,0.009145646924479637,0.020434255364800407,0.057023075784826606,2.6316417401046415e-05,2.6316417401046415e-05
10,extreme_dhd_minus_mld,0.75,1356,0.05676329665689317,0.010040705666811285,0.03666465714658033,0.07722013193404495,1.916593958785453e-08,5.7497818763563586e-08
10,extreme_dhd_minus_mld,0.9,1356,0.07974213612673538,0.013876469631283216,0.05271913864228707,0.10611375695373826,1.1233895691107618e-08,4.493558276443047e-08
10,extreme_dhd_minus_mld,0.95,1356,0.09653637931340325,0.019659707197215794,0.05616080861755235,0.13514751846143722,1.0195347404666656e-06,2.039069480933331e-06
20,dhd_minus_mld,0.5,1357,0.03628028778999799,0.0077974722561745,0.02118516654327991,0.051498398117528814,3.5942766736607933e-06,3.5942766736607933e-06
20,dhd_minus_mld,0.75,1357,0.04765929235059197,0.008725781608942945,0.030708914829164997,0.06456834856196457,5.597439405126752e-08,1.3009872302477376e-07
20,dhd_minus_mld,0.9,1357,0.07159571370625935,0.012450214203150425,0.04697062854956999,0.0952044934956869,1.0976537420510292e-08,4.390614968204117e-08
20,dhd_minus_mld,0.95,1357,0.09579245827065082,0.017391473284992708,0.0614931396303694,0.12879398696814673,4.336624100825792e-08,1.3009872302477376e-07
20,extreme_dhd_minus_mld,0.5,1326,0.038518554163861664,0.009259443364581182,0.01996898637584088,0.05646236374649776,3.388474336221321e-05,3.388474336221321e-05
20,extreme_dhd_minus_mld,0.75,1326,0.05672511745583451,0.010175356597134056,0.036860239927302196,0.07686610998016086,3.0000980307606915e-08,9.000294092282075e-08
20,extreme_dhd_minus_mld,0.9,1326,0.07948640588962988,0.014098331734016978,0.05366809584111926,0.10735169976905132,2.0998884695771998e-08,8.399553878308799e-08
20,extreme_dhd_minus_mld,0.95,1326,0.09879426807785936,0.01997693998162511,0.06286909738074203,0.1381714285274702,8.571123762059923e-07,1.7142247524119846e-06
