contrast,n_pairs,matched_high_minus_low_differential_decay_shift_1e4_h,std_error,bootstrap_ci95_low,bootstrap_ci95_high,p_value
dhd_minus_mld,1357,-0.10258122357620948,0.05240141604662182,-0.20380759088789185,0.004570727539496947,0.05048135352294987
extreme_dhd_minus_mld,1356,-0.11310879970241877,0.05898339550045715,-0.2247796260072976,0.009128908037255976,0.055366958044619226
