feature,pc1_loading,pc1_variance_explained,n_complete_cities
built_surface_fraction_2020,0.619326808010312,0.5338221149549506,2769
mean_building_height_2020,0.5430256560294822,0.5338221149549506,2769
road_density_2024,0.4025929250648976,0.5338221149549506,2769
lcz_compact_share_2025,0.3993449366915745,0.5338221149549506,2769
