model,outcome,term,estimate,std_error_cluster_city,ci95_low,ci95_high,t_stat,p_value,n_obs,n_cities,n_times
built_surface_fraction_2020,differential_decay_1e4_h,dhd_x_built_surface_fraction_2020,-0.408548481156204,0.026988038706702244,-0.46144503702134043,-0.3556519252910676,-15.138131584743302,9.075564830262532e-52,623842,2769,1057
built_surface_fraction_2020,differential_decay_1e4_h,extreme_x_built_surface_fraction_2020,-0.4270286847407974,0.03255872296861097,-0.4908437817592749,-0.36321358772231993,-13.1156460022245,2.6788973244066427e-39,623842,2769,1057
mean_building_height_2020,differential_decay_1e4_h,dhd_x_mean_building_height_2020,-0.43397758832704864,0.02944737926310954,-0.49169445168274334,-0.37626072497135393,-14.737392568944763,3.708279218072993e-49,623842,2769,1057
mean_building_height_2020,differential_decay_1e4_h,extreme_x_mean_building_height_2020,-0.4986728192842683,0.03426567057816349,-0.5658335336174688,-0.4315121049510679,-14.553131775044204,5.578933156412279e-48,623842,2769,1057
road_density_2024,differential_decay_1e4_h,dhd_x_road_density_2024,-0.33718122979400855,0.03012929738037799,-0.3962346526595494,-0.2781278069284677,-11.191141483890071,4.505950409510318e-29,623842,2769,1057
road_density_2024,differential_decay_1e4_h,extreme_x_road_density_2024,-0.4576923366404592,0.035299765644930696,-0.5268798773045233,-0.3885047959763951,-12.965874653226974,1.9103876094457678e-38,623842,2769,1057
lcz_compact_share_2025,differential_decay_1e4_h,dhd_x_lcz_compact_share_2025,-0.1546856347815676,0.03192399930694096,-0.2172566734231719,-0.09211459613996333,-4.845434097849251,1.2633514303170047e-06,623842,2769,1057
lcz_compact_share_2025,differential_decay_1e4_h,extreme_x_lcz_compact_share_2025,-0.06634579996845226,0.035895113066924486,-0.13670022157962425,0.0040086216427197285,-1.8483240279743407,0.06455548177227988,623842,2769,1057
