ring_definition,outcome,n_pairs,high_minus_low_mean,ci95_low,ci95_high
ring10_20,compound_loss_dhd_minus_mld,2693,0.012304872654908275,0.009604229120777692,0.015005516189038857
ring10_20,gradient_shift_dhd_minus_mld,2693,0.06597446715162605,0.04836780325544991,0.0835811310478022
ring20_30,compound_loss_dhd_minus_mld,2693,0.010200863699041041,0.0074358268643716745,0.012965900533710408
ring20_30,gradient_shift_dhd_minus_mld,2504,0.07328608521100922,0.05216745334504301,0.09440471707697544
ring5_15,compound_loss_dhd_minus_mld,2693,0.012924198189290158,0.00992359023488604,0.015924806143694275
ring5_15,gradient_shift_dhd_minus_mld,2408,0.07507580588798268,0.05791425825072321,0.09223735352524215
