uc_id,ring_definition,veg_group,mean_core_minus_ring_anom_DHD,mean_core_minus_ring_anom_MLD,p_compound_hot_anom_DHD,p_compound_hot_anom_MLD,compound_loss_dhd_minus_mld,gradient_shift_dhd_minus_mld
1,ring10_20,low_veg,-0.08205209070576049,-0.03432273027245707,0.045454545454545456,0.009900990099009901,0.03555355535553555,-0.04772936043330342
1,ring20_30,low_veg,,,0.0,0.0,0.0,
1,ring5_15,low_veg,0.024688725285272307,0.0030220502089244603,0.056818181818181816,0.009900990099009901,0.04691719171917191,0.021666675076347848
1000,ring10_20,high_veg,-0.06557516209102429,-0.3738044882718092,0.08602150537634409,0.0223463687150838,0.06367513666126029,0.3082293261807849
1000,ring20_30,high_veg,-0.07982709356165964,-0.37905069181105283,0.0967741935483871,0.01675977653631285,0.08001441701207425,0.2992235982493932
1000,ring5_15,high_veg,0.0815843096567808,-0.26588088298403084,0.08602150537634409,0.0223463687150838,0.06367513666126029,0.34746519264081166
10001,ring10_20,high_veg,-0.2813718300928177,0.14833105151783174,0.07142857142857142,0.08633093525179857,-0.014902363823227141,-0.4297028816106494
10001,ring20_30,high_veg,-0.0924042493798047,0.022640144701689974,0.10204081632653061,0.07194244604316546,0.03009837028336515,-0.11504439408149467
10001,ring5_15,high_veg,-0.3442663661485527,0.1883490532997438,0.061224489795918366,0.07194244604316546,-0.010717956247247099,-0.5326154194482965
10003,ring10_20,high_veg,0.6707748815098822,-0.17620865905883862,0.102803738317757,0.0457516339869281,0.057052104330828905,0.8469835405687208
10003,ring20_30,high_veg,0.6774707175120832,-0.11449288708957514,0.1308411214953271,0.0457516339869281,0.08508948750839898,0.7919636046016584
10003,ring5_15,high_veg,0.6555824995943836,-0.04363609198234409,0.1308411214953271,0.032679738562091505,0.09816138293323559,0.6992185915767277
10005,ring10_20,low_veg,-0.4947235939884091,-0.08212593770511338,0.05154639175257732,0.02112676056338028,0.030419631189197036,-0.4125976562832957
10005,ring20_30,low_veg,-0.0788964871542645,-0.22030590720232376,0.10309278350515463,0.007042253521126761,0.09605052998402787,0.14140942004805926
10005,ring5_15,low_veg,0.9655878941833798,-0.014335927483432572,0.1134020618556701,0.02112676056338028,0.09227530129228982,0.9799238216668124
10006,ring10_20,high_veg,0.064824588325826,-0.1874051530427727,0.05434782608695652,0.014925373134328358,0.03942245295262816,0.25222974136859866
10006,ring20_30,high_veg,-0.022118704818157024,-0.054486835590453433,0.05434782608695652,0.014925373134328358,0.03942245295262816,0.03236813077229641
10006,ring5_15,high_veg,0.12956600392324066,-0.0365916238731521,0.09782608695652174,0.022388059701492536,0.07543802725502921,0.16615762779639276
10007,ring10_20,low_veg,0.3215795338977781,-0.35645646923032925,0.10227272727272728,0.044444444444444446,0.05782828282828283,0.6780360031281074
10007,ring20_30,low_veg,0.14353556586206043,-0.17489242652621664,0.09090909090909091,0.05925925925925926,0.03164983164983165,0.31842799238827707
10007,ring5_15,low_veg,0.2922610711019409,-0.32782442103380177,0.10227272727272728,0.044444444444444446,0.05782828282828283,0.6200854921357426
10008,ring10_20,high_veg,0.028549441428873036,-0.051913767864965744,0.07777777777777778,0.0,0.07777777777777778,0.08046320929383878
10008,ring20_30,high_veg,0.06723149062838196,-0.07332832399466861,0.1,0.0,0.1,0.14055981462305056
10008,ring5_15,high_veg,0.09596220479409841,-0.07049602380360577,0.1,0.0,0.1,0.16645822859770418
10011,ring10_20,low_veg,0.14337186402813312,-0.16583231185695513,0.1262135922330097,0.02631578947368421,0.0998978027593255,0.30920417588508825
10011,ring20_30,low_veg,-0.20550010577871924,-0.07792873499346793,0.1262135922330097,0.02631578947368421,0.0998978027593255,-0.12757137078525133
10011,ring5_15,low_veg,0.6407786936127334,0.2559272881557384,0.13592233009708737,0.02631578947368421,0.10960654062340316,0.38485140545699503
10015,ring10_20,low_veg,-0.32811853922822304,-0.23677452637525523,0.0784313725490196,0.020689655172413793,0.057741717376605814,-0.09134401285296781
10015,ring20_30,low_veg,-0.5326528958082549,-0.055306174689752984,0.049019607843137254,0.020689655172413793,0.02832995267072346,-0.47734672111850196
10015,ring5_15,low_veg,,,0.0,0.0,0.0,
10017,ring10_20,low_veg,-0.4491467454673182,-0.10966348113018538,0.075,0.04032258064516129,0.03467741935483871,-0.33948326433713283
10017,ring20_30,low_veg,-0.05328628742532513,-0.3060673350294291,0.0625,0.024193548387096774,0.038306451612903226,0.25278104760410397
10017,ring5_15,low_veg,-0.20375671314549348,-0.07128816246950233,0.05,0.04032258064516129,0.009677419354838714,-0.13246855067599117
10019,ring10_20,high_veg,0.12057916669519331,-0.37502026878591677,0.1651376146788991,0.030864197530864196,0.1342734171480349,0.4955994354811101
10019,ring20_30,high_veg,0.042364083131731525,-0.2688031540124684,0.1834862385321101,0.024691358024691357,0.15879488050741875,0.3111672371441999
10019,ring5_15,high_veg,0.34853441211095065,-0.363791022316125,0.1559633027522936,0.030864197530864196,0.1250991052214294,0.7123254344270756
10021,ring10_20,low_veg,-0.32503298519168283,-0.24897636934479256,0.11764705882352941,0.027586206896551724,0.09006085192697769,-0.07605661584689027
