veg_group,state,n_city_intervals,n_cities,mean_t2m_true_night_c,mean_td2m_true_night_c,mean_wetbulb_true_night_c,frac_true_night_t2m_local_p90,frac_true_night_t2m_ge28,frac_true_night_wetbulb_local_p90
high_veg,DHD,155690,2769,16.7487693334251,12.405941485749615,14.042843340297644,0.20653863446592588,0.03158841287173229,0.1398805318260646
high_veg,MLD,454111,2769,15.42168081921819,13.078925949899004,13.881770740921104,0.04396722387257741,0.0046618558017753366,0.09193787422017964
high_veg,extreme_DHD,121888,2769,17.556864366999385,12.91787572970541,14.652951906555813,0.2555214623260698,0.035959241270674715,0.15492911525334732
low_veg,DHD,147866,2727,18.38250638140995,13.432107442711741,15.37981778023104,0.18771725751694102,0.05165487671269933,0.13562279361043106
low_veg,MLD,436939,2727,17.18734448352505,14.265033673023966,15.326435793462169,0.04755583731367537,0.013132267890941298,0.09306562243242192
low_veg,extreme_DHD,110277,2727,19.341209150327327,14.306624674932399,16.24681417168343,0.23052857803531107,0.06160849497175295,0.1517904912175703
