covariate,standardized_difference_before,standardized_difference_after,absolute_standardized_difference_after,label
log_population,0.4138239601607261,0.0713521036433954,0.0713521036433954,Log population
median_true_night_t2m_c,-0.3013262449801876,-0.017818027349482,0.017818027349482,True-night 2-m temperature
median_true_night_wetbulb_c,-0.2341751234734328,0.0048649321612085,0.0048649321612085,True-night wet-bulb
mean_vpd_kpa,-0.3446959903749094,0.0091211707112388,0.0091211707112388,VPD
mean_rzsm,0.3243032835296599,0.037819785928808,0.037819785928808,Root-zone soil moisture
mean_log1p_pr_sum,0.0811479541225386,0.0141801383860881,0.0141801383860881,Precipitation
mean_gradient_mld,-0.1919199786672205,-0.0717609911428612,0.0717609911428612,MLD nighttime contrast
valid_core_ring_fraction,0.2495715029393175,0.0087625474525159,0.0087625474525159,Valid core–ring fraction
