uc_id,high_green,lon,lat
1,0,-171.78310831964657,-13.833334896571351
1000,1,47.125402310654806,40.37903946402107
10001,1,117.11851130143856,34.938760705056744
10003,1,113.44616218788916,30.3748256402119
10005,0,112.132576340631,28.53305343673117
10006,1,79.13811725264237,12.932522553842992
10007,0,117.63388202022024,35.51304977287628
10008,1,83.0208127251078,25.308416628706738
10011,0,112.36916080507076,28.841204291268006
10015,0,109.73487100257834,24.477342271948693
10017,0,108.3567239568143,21.763132665846324
10019,1,115.6176421722828,33.17495021355548
10021,0,111.65567339794376,27.69596744756469
10022,0,83.29966334964726,26.092161801701387
10023,1,110.2615420103366,25.27086398307352
10025,0,123.75037250614275,41.29146504668522
10027,1,112.32415565348656,28.590308966716194
10028,0,82.88978836633599,25.112219656805163
10029,1,113.92993080203878,30.937046820107177
10033,0,118.8346537683245,36.711042156144885
10037,0,111.46950080613968,27.306922162680003
10039,0,110.3220398083426,25.410797200246307
10041,1,111.4680673728134,27.23463792397588
10043,1,117.12508583670044,34.8105732359986
10049,0,117.95132146065104,35.705763095917355
1005,0,58.186482207981825,38.05557982865388
10050,1,78.81790391930794,10.378715531222104
10051,1,116.42099718791096,33.94332325813789
10052,1,78.77764264225402,10.082271991947012
10053,1,113.83673841070888,30.645041074847533
10056,0,83.38491396568944,26.03437886241805
1006,0,60.615709000499464,41.55264652951947
10060,1,79.31877409105705,12.931843554435313
10061,0,108.62896744444046,21.96446779705196
10063,0,117.4440733079538,35.094049100007695
10064,0,80.0476429000422,16.23479777460288
10067,0,131.14440771352318,46.63175046741648
10068,0,82.65858295222762,24.094768833560224
10069,0,121.99754412627642,39.62207830975193
10071,0,114.90021812105324,32.006986500648225
10072,0,78.81411750039936,9.952481220229291
10073,1,119.13153819829806,36.69916881691289
10074,0,81.63655105430733,21.257703866636625
10075,1,115.04686446424893,32.133990810157286
10076,0,82.67293863355845,24.195525501659784
10077,0,113.82953441581296,30.560848179062532
10079,1,117.26796345712415,34.79058806507711
10085,0,117.35366703175065,34.87159794328149
10091,1,116.20492026135958,33.509966890310565
10093,1,111.98891092920756,27.738859221580732
10095,0,121.25498603268754,38.80628135247302
10098,0,78.84749668150485,9.363993281126398
10099,1,115.82979482003262,32.883716856150166
101,1,19.51333284995514,42.069518871808775
1010,0,68.55576499488808,38.53624039807302
10101,1,113.13194476945364,29.378325608594167
10102,0,83.79206205161354,26.495535652284243
10103,1,115.41293890597127,32.46246009935661
10104,0,80.0382795845113,15.509938120369446
10105,0,119.39260885487931,36.88197110512227
10106,1,83.99295931111287,26.89364257770205
10107,0,111.73938462887892,27.2483287720341
10109,0,124.12157337785624,41.302856975313034
10110,0,83.5574745433869,25.934335880232872
10111,0,121.94402796425987,39.3966043252897
10112,0,82.78811865741248,24.19392220113728
10113,0,121.64289024237968,38.99520855977074
10114,0,80.17153936015279,16.097439506500123
10115,1,115.58990397138648,32.641321780142704
1012,0,73.29685120381963,40.76816593283376
10122,0,78.99765228393007,10.171877288483476
10123,0,114.03867255508582,30.574937312933972
10125,1,117.5410255499934,34.85158322127546
10127,1,116.79086805955102,33.94167113755933
10129,1,116.94471622095244,34.182368832756985
1013,1,74.09883394262884,33.769515167737914
10131,1,114.29791641353712,30.557677891233368
10132,1,79.13267990673071,10.770180955184872
10135,0,109.27123661912684,22.6935639151895
10138,0,83.06413440312839,24.67975736935024
10141,0,117.9781496107831,35.268088936309255
10143,1,117.1832726384122,34.25692888118814
10144,0,81.94690696181641,21.734014991930337
10147,0,114.36420638308356,30.87974072369348
10149,0,114.24760928847074,30.72368356104045
1015,1,83.45272398014669,27.665774226875502
10151,0,113.11327031082956,29.14276105032946
10153,0,131.40503863645625,46.56752686705354
10157,1,112.55527474602862,28.26098985404805
10159,0,109.5958760451132,23.10244622258561
1016,0,80.33417032891882,6.015556966408864
10160,1,82.15004972795698,22.075339292968263
10161,1,116.18248773137384,33.144767891153506
10162,1,80.69202185106832,17.598624106724067
10163,0,120.32335754525056,37.64767736786877
10164,0,83.5719959161615,25.593552505586633
10166,0,79.32710953275081,11.520531569054183
10169,1,119.20334370145076,36.44388107743487
10171,1,117.57239651853956,34.759654952690454
10173,0,112.88384890622854,28.685392378206508
10176,1,80.42912874266496,16.30296784139703
10177,0,119.94160911368574,37.19608925070683
10179,0,110.3928791706837,24.490959699122175
10180,1,79.67005083109954,13.085421109682772
10181,0,114.08717468198648,30.337087555089884
10183,0,118.62536576543938,35.775911073425185
10185,0,112.18188924186448,27.458862156393877
10189,1,113.11505870810392,28.790968882287665
1019,0,100.09667028417051,17.61980573936139
10190,1,79.51406377191456,11.931740921251013
10191,0,111.59658507505688,26.446259078923536
10193,0,118.46782612344197,35.54043046636258
10194,0,80.3488771838122,15.817670818931312
10195,1,117.44973788986638,34.420279795018665
10197,0,113.91884975541691,29.983882883065625
10199,1,118.30513911331188,35.07582374353467
102,0,24.114251069202854,56.96324412479012
10201,0,112.81734724906282,28.353833329853703
10203,0,120.51223633551004,37.63460670801894
10204,1,79.38371609633695,10.96666063822325
10207,1,115.66689057244176,32.18475856042648
10208,1,79.71417744306721,12.827540284834672
10209,0,120.75812965169976,37.80884477408869
1021,0,100.55261172618296,5.393065011014907
10210,1,79.48299858731855,11.605936777846862
10211,1,116.55796768654636,33.257950268464256
10213,0,114.30900816192704,30.351465606433727
10215,0,112.51851639638195,27.735375468004264
10217,1,115.39527207649668,31.804560841660347
1022,0,105.39102592932704,21.32259969275903
10220,1,79.5503101667661,11.77575135734894
10221,0,114.56454420681764,30.688969602781587
10222,0,79.31662809871514,10.421640865887293
10223,0,109.14588748467574,21.47740729128988
10224,1,80.64631973612862,16.509432670299475
10227,1,113.8892363783232,29.728434160999782
10228,0,80.570864610056,16.4344501875887
10229,1,112.9972701615186,28.184498968840145
10231,0,111.83843591776689,26.594764726523003
10233,0,111.62028799002252,26.230129158096897
10235,1,118.0451393707494,34.85889125048312
10237,1,116.98271512032244,33.63179328250482
10239,1,115.00491622367336,31.182099698304512
10241,0,110.07611244663548,23.367779672785677
10242,0,80.47962298303649,15.911691887511532
10243,0,120.41197383657268,37.36550339727925
10244,1,79.58286194018778,11.569458447099656
10249,1,114.80396923485397,30.84195716812732
1025,1,127.28847566130014,37.65129922519506
10252,0,79.4474897045579,10.660507102099585
10253,1,119.9476879855363,36.77126404142858
10255,0,112.09569488219124,26.787902609912997
10257,0,116.25084565543706,32.64858976964797
10259,0,130.89046601342835,45.804906918924615
1026,1,120.54088930125587,23.928200607599095
10261,0,118.82417423510032,35.5906602062578
10262,1,79.55518860435765,11.28662832620885
10265,0,109.87957305818443,22.741346754826285
10266,1,79.91698549707787,13.1233274904224
10267,0,112.90247003096128,27.894422672196107
10268,0,80.64454032935109,16.24171281460695
1027,1,130.84293288950408,33.89576172784667
10271,1,113.81186863912754,29.25229118108371
10273,0,110.39581697402228,23.546534116881432
10276,0,83.60864134780373,25.034141421524993
1028,1,120.59766121795896,16.41791982936361
10281,1,119.76925421716844,36.39124198619671
10283,1,119.3981479520886,36.00518924154823
10285,0,112.38128854139327,26.96956954246057
10286,1,84.47345631973207,26.769313811568445
10289,0,112.93774035603568,27.841535996221115
1029,1,138.5911074675465,-34.878930031478994
10290,0,79.80102586905109,11.927549312739512
10292,0,79.76634365745376,11.760611554000942
10293,0,114.87075266708882,30.64133698149588
10296,1,79.64410946468924,11.103544082100786
103,1,20.299962376673935,42.659183979267155
10300,1,80.17084012416713,13.028005536530884
10302,0,79.696912565961,11.39964209272704
10303,0,119.19714219273008,35.76109157564264
10305,1,117.95018353389663,34.32190376409173
10306,1,84.49498562871099,26.23169375831305
10307,0,113.25007912552589,28.20605482456551
10308,0,80.11061759444648,13.415527647520848
10309,0,112.95337371025504,27.782235683625636
1031,1,175.2690239130702,-37.77201183630924
10310,0,79.63250313890829,10.775173084474432
10313,1,117.99848087189324,34.432761589319014
10314,1,79.98613032933524,12.68049308156095
10315,0,116.27048438897332,32.348544834158886
10319,1,115.9016032275172,31.845387501565483
1032,1,-121.64052592709837,36.688090837443625
10320,0,83.98469348256397,25.58202453364328
10321,1,114.87440646375576,30.41827487630917
10323,1,113.13789641583442,27.852793024773888
10325,1,110.14509163219118,22.632420009419516
10326,0,82.72894143537242,22.370682249276552
10329,0,120.82275588144084,37.303572424304846
10331,0,118.8184410014222,35.18246168798258
10332,0,84.43627651363813,26.473029149246777
10333,1,118.33489973737642,34.61988668085326
10334,0,84.18583163187716,25.771252902516785
10335,1,112.59817182653804,26.908385841514864
10337,0,109.97706394190593,22.26224423199184
10338,0,84.36071225769679,26.22323305915405
10339,0,116.71316189705334,32.70976922263314
1034,1,-119.45043777226324,49.88544864360484
10343,0,129.6047863242093,44.58106600252699
10345,1,118.62951947004294,34.91262104641325
10347,0,125.75609617128386,41.676614660913806
10349,0,120.5221361997564,36.87287060103166
1035,1,-91.4103596717287,15.02543871467417
10353,0,121.30995115296444,37.54180364865836
10355,0,116.81575021647542,32.776502501560344
10356,0,80.99414510584678,16.43088987893599
10358,0,79.83435564618459,10.940444655769534
10361,1,120.03427841404658,36.29229129643057
10362,0,79.83473685181518,10.785900972188612
10365,0,112.8618278250477,27.24497247016553
10366,0,83.18334792164403,23.128465289580543
10368,1,81.10522196082567,16.705676045836054
10369,1,117.32104691569629,33.31849916476505
10370,0,84.84039482577194,26.98490206439017
10371,0,125.94013325436758,41.730035522281675
10375,0,112.39191067539385,26.410508876764396
10377,0,110.34700243774228,22.70919511939885
10379,0,111.2989051752703,24.53243018677996
10381,0,120.71291982593614,36.96502432751373
10383,1,117.56030675117375,33.535385356164795
10386,0,84.03612827966664,24.95132645783875
10387,0,126.03715086545544,41.78768119677094
10391,0,116.78030729139316,32.56786098973102
10395,1,118.3359087144526,34.377797689594495
10397,1,115.02499220976944,30.18778741756287
10399,1,117.95427368866828,33.900976128694396
104,1,21.306344446728534,46.18116867865216
1040,0,-79.84847257818087,-6.772035590540438
10403,1,116.95849462249552,32.624517793004145
10404,0,81.13729819959778,16.189738356353416
10409,0,110.25863449808158,22.314815438476693
10413,1,117.21899135175046,32.9731243595547
10415,1,113.63181238556076,28.142997355950712
10419,0,110.55080253145414,22.85422046726172
10423,0,130.95893845439497,45.30765584684062
10425,1,115.25788258352073,30.45237624605763
10427,1,113.74977669016744,28.28195116911663
10431,0,120.26517957389316,36.342424835348005
10432,0,84.92485427866723,26.642570599645772
10433,0,126.42455581877944,41.93876666220356
10435,0,126.59304449883268,42.06605764262141
10437,0,119.50425989612354,35.40903679943939
10441,1,124.37507856952811,40.14617246913331
10444,1,84.79218258597221,25.96574617635762
10446,0,84.17057850275972,24.915575755615883
10447,1,117.33043490014086,32.93250556615642
10449,1,120.41008561440124,36.23544976190619
10451,0,111.46339392220094,24.33727101548384
10453,1,111.57698722324032,24.41454477221087
10457,1,118.266385271048,33.93609989705125
10461,0,130.92198572242157,45.21548455657156
10462,0,84.7454625581533,25.78629201476415
