anomaly_threshold_c,outcome,n_pairs,matched_high_minus_low_dhd_mld_shift,std_error,bootstrap_ci95_low,bootstrap_ci95_high,p_value
0.1,onset_shift_dhd_minus_mld,1327,0.01950724389397,0.0048262453449381,0.0102942327039612,0.0287440505901179,5.6066390664311944e-05
0.1,persistence_shift_dhd_minus_mld,1327,0.022489032295405,0.0055367120722313,0.0115892797992376,0.0332854408149228,5.154907880008596e-05
0.25,onset_shift_dhd_minus_mld,1252,0.0147657109220668,0.0044495087989565,0.0059722073892135,0.0235707261942332,0.0009310486379332
0.25,persistence_shift_dhd_minus_mld,1252,0.0312831058353496,0.005915643701043,0.0193681696469006,0.0433948566143007,1.4567002031264478e-07
0.5,onset_shift_dhd_minus_mld,854,0.0164353582254796,0.0044344689997137,0.0076167117886748,0.0251807825619471,0.0002239003811036
0.5,persistence_shift_dhd_minus_mld,854,0.0327766421712018,0.0073576805926752,0.0184326463100326,0.0478672561054736,9.516894688496944e-06
