model,outcome,term,estimate,std_error_cluster_city,ci95_low,ci95_high,t_stat,p_value,n_obs,n_cities,n_times,water_support_tertile
water_support_Low,differential_decay_1e4_h,dhd_x_built_form_storage_score,-0.7557346218578944,0.0673396219885442,-0.8877202809554411,-0.6237489627603477,-11.222733355801424,3.1536955224865027e-29,214287,923,1057,Low
water_support_Low,differential_decay_1e4_h,extreme_x_built_form_storage_score,-0.8762064698687576,0.0848158447240887,-1.0424455255279717,-0.7099674142095437,-10.330693194403857,5.11893080625784e-25,214287,923,1057,Low
water_support_Intermediate,differential_decay_1e4_h,dhd_x_built_form_storage_score,-0.5235813419662754,0.0575206577174655,-0.6363218310925077,-0.4108408528400429,-9.102492265266564,8.82822947855406e-20,204917,922,1057,Intermediate
water_support_Intermediate,differential_decay_1e4_h,extreme_x_built_form_storage_score,-0.5863046981795343,0.0699631309738087,-0.7234324348881995,-0.4491769614708691,-8.38019525454088,5.283997261881481e-17,204917,922,1057,Intermediate
water_support_High,differential_decay_1e4_h,dhd_x_built_form_storage_score,-0.2813310540280633,0.0324884266376306,-0.3450083702378194,-0.2176537378183072,-8.65942377468669,4.7415498233040034e-18,204409,923,1056,High
water_support_High,differential_decay_1e4_h,extreme_x_built_form_storage_score,-0.2635750335902688,0.038024793742313,-0.3381036293252024,-0.1890464378553352,-6.931662414172912,4.15923562573274e-12,204409,923,1056,High
