contrast,storage_quartile,n_cities,mean_differential_decay_shift_1e4_h,standard_error
dhd_minus_mld,Q1 lowest,693,-0.1478935283163523,0.0485644922694236
dhd_minus_mld,Q2,692,-0.7250983409247754,0.0616817278835366
dhd_minus_mld,Q3,692,-1.2463014959942984,0.0662338508296759
dhd_minus_mld,Q4 highest,692,-1.374757344616292,0.0636208123528403
extreme_dhd_minus_mld,Q1 lowest,690,-0.1742127555405785,0.0578413261594989
extreme_dhd_minus_mld,Q2,691,-0.8484033349281038,0.0713205440848904
extreme_dhd_minus_mld,Q3,692,-1.5199787036277228,0.077589813639907
extreme_dhd_minus_mld,Q4 highest,692,-1.6067375129549433,0.0744661708593784
