sample,rho_raw,rho_harmonized,raw_core_to_ring_sd_ratio,core_sd_ratio,ring_sd_ratio,standardized_differential_bias_gain,gross_variance_bias_gain_k2,covariance_loss_penalty_k2,covariance_offset_fraction,net_downstream_mse_gain_k2,net_downstream_mse_gain_fraction,reconstructed_net_gain_k2,reconstruction_residual_k2
2021 external GOES17/16,0.884688899760666,0.5544809765713495,1.0712265199701474,0.5283726754553479,0.4968579877093949,0.014345126652285062,2.440132323741179,2.421535245305123,0.9923786598558134,0.018597078436056,0.044942736384805,0.01859707843605607,-6.938893903907228e-17
2022-2024 expansion GOES18/16,0.7964771269445767,0.5224029860452967,1.154464877209498,0.6687724960352507,0.6353518793209865,-0.10232798473726418,1.3346429785317389,1.4587180845221348,1.0929650161025781,-0.1240751059903956,-0.2280986800628257,-0.12407510599039595,3.469446951953614e-16
2025 expansion GOES18/19,0.7574726003584766,0.4573349406184103,1.0718547507227885,0.6987271735700148,0.6355158322308173,-0.12849506123795995,1.5039465649713488,1.7087206011936082,1.1361577871127093,-0.2047740362222596,-0.2652079075110612,-0.20477403622225943,-1.6653345369377348e-16
2025 original GOES18/19,0.8629347012848582,0.5884648941041587,1.0935248547648098,0.586918522270437,0.5656065066685196,0.07184742030159096,1.8830720033759492,1.782006522210434,0.9463294653713049,0.1010654811655148,0.213523683575713,0.10106548116551517,-3.7470027081099033e-16
2026 combined GOES18/19,0.7881675889607399,0.32378588268064523,1.149759530050235,0.564318965608489,0.6152561265415648,0.022736369199226673,1.7731992434286796,1.7790107110364564,1.003277391206495,-0.0058114676077766,-0.0094286710850752,-0.0058114676077767324,1.3270634591222574e-16
