rho_raw,rho_harmonized,n_bounded_configurations,fraction_downstream_gain,fraction_downstream_damage,fraction_boundary,minimum_standardized_gain,p05_standardized_gain,median_standardized_gain,p95_standardized_gain,maximum_standardized_gain,bounded_regime
0.0,0.0,1260,1.0,0.0,0.0,0.04500000000000007,0.3450000000000001,0.975,1.5290009155091309,1.745,necessarily_helps
0.0,0.01,1260,1.0,0.0,0.0,0.06260975609756105,0.362804000141598,0.9859756097560977,1.5338870917899454,1.7490451843043997,necessarily_helps
0.0,0.02,1260,1.0,0.0,0.0,0.08021951219512202,0.38060800028319597,0.9956658739595721,1.5387732680707598,1.753090368608799,necessarily_helps
0.0,0.03,1260,1.0,0.0,0.0,0.09782926829268299,0.3979679435007484,1.0051545778834723,1.5436594443515743,1.7571355529131987,necessarily_helps
0.0,0.04,1260,1.0,0.0,0.0,0.11543902439024398,0.4139790096878365,1.0147726675427071,1.5485456206323889,1.7611807372175983,necessarily_helps
0.0,0.05,1260,1.0,0.0,0.0,0.13304878048780494,0.42995811126571987,1.0251808278424566,1.553431796913203,1.7652259215219976,necessarily_helps
0.0,0.06,1260,1.0,0.0,0.0,0.1506585365853659,0.44584709758722996,1.0361867308425765,1.5583179731940175,1.7692711058263972,necessarily_helps
0.0,0.07,1260,1.0,0.0,0.0,0.1682682926829269,0.46173608390874016,1.0464878048780488,1.5633531281997428,1.7733162901307968,necessarily_helps
0.0,0.08,1260,1.0,0.0,0.0,0.1858780487804879,0.4777214913425021,1.056439024390244,1.5690201816797502,1.7773614744351962,necessarily_helps
0.0,0.09,1260,1.0,0.0,0.0,0.20348780487804882,0.493712307817292,1.0650731707317074,1.5746872351597576,1.7814066587395958,necessarily_helps
0.0,0.1,1260,1.0,0.0,0.0,0.2210975609756098,0.5096634832328558,1.0728686759956942,1.580146118301872,1.7854518430439954,necessarily_helps
0.0,0.11,1260,1.0,0.0,0.0,0.23870731707317078,0.5239801462440566,1.0814658591819444,1.5850884271049384,1.7894970273483948,necessarily_helps
0.0,0.12,1260,1.0,0.0,0.0,0.2563170731707317,0.5382968092552577,1.0895256241787123,1.5900307359080048,1.7935422116527944,necessarily_helps
0.0,0.13,1260,1.0,0.0,0.0,0.2739268292682927,0.5531776550600864,1.0986004417074011,1.5949169471500957,1.797587395957194,necessarily_helps
0.0,0.14,1260,1.0,0.0,0.0,0.2915365853658537,0.567643583369401,1.1072139618844798,1.5997714510751135,1.8016325802615936,necessarily_helps
0.0,0.15,1260,1.0,0.0,0.0,0.3091463414634147,0.5818765501928903,1.1157475459110597,1.6042871170154112,1.805677764565993,necessarily_helps
0.0,0.16,1260,1.0,0.0,0.0,0.3267560975609757,0.5961095170163797,1.1236386371915343,1.60825621437927,1.8097229488703925,necessarily_helps
0.0,0.17,1260,1.0,0.0,0.0,0.34436585365853667,0.6103424838398691,1.132135629709365,1.6130515937756817,1.8137681331747921,necessarily_helps
0.0,0.18,1260,1.0,0.0,0.0,0.36197560975609755,0.6246156609130298,1.1416521127794763,1.6172242791409521,1.8178133174791915,necessarily_helps
0.0,0.19,1260,1.0,0.0,0.0,0.37958536585365854,0.6406509308579207,1.151149937267991,1.6217180609884252,1.821858501783591,necessarily_helps
0.0,0.2,1260,1.0,0.0,0.0,0.39719512195121953,0.6567798097190475,1.1601807143615703,1.625904220216102,1.8259036860879907,necessarily_helps
0.0,0.21,1260,1.0,0.0,0.0,0.4148048780487805,0.6735207621550592,1.167455237353535,1.6300255197610143,1.82994887039239,necessarily_helps
0.0,0.22,1260,1.0,0.0,0.0,0.4324146341463415,0.6896012944162921,1.1756829268292683,1.634112711903895,1.8339940546967897,necessarily_helps
0.0,0.23,1260,1.0,0.0,0.0,0.4500243902439025,0.7060810198184079,1.1865139541599938,1.6389183320548493,1.8380392390011893,necessarily_helps
0.0,0.24,1260,1.0,0.0,0.0,0.4676341463414634,0.7239301360296587,1.1951959095801938,1.6446662589578507,1.8420844233055886,necessarily_helps
0.0,0.25,1260,1.0,0.0,0.0,0.4852439024390244,0.7405750990890216,1.204833196332837,1.650414185860852,1.8461296076099882,necessarily_helps
0.0,0.26,1260,1.0,0.0,0.0,0.5028536585365854,0.7579962507870097,1.2155212528551549,1.6559219078522875,1.8501747919143878,necessarily_helps
0.0,0.27,1260,1.0,0.0,0.0,0.5204634146341464,0.7757080038231443,1.2266963427761295,1.6608526481804649,1.8542199762187872,necessarily_helps
0.0,0.28,1260,1.0,0.0,0.0,0.5380731707317074,0.7889095366207654,1.2364168363066552,1.665783388508642,1.8582651605231868,necessarily_helps
0.0,0.29,1260,1.0,0.0,0.0,0.5556829268292682,0.8054967436941123,1.2469001380579843,1.6707000276527502,1.8623103448275864,necessarily_helps
0.0,0.3,1260,1.0,0.0,0.0,0.5732926829268292,0.8190934264927405,1.255620621271937,1.6763787490928452,1.8663555291319858,necessarily_helps
0.0,0.31,1260,1.0,0.0,0.0,0.5909024390243902,0.8341974771914421,1.266095573859812,1.6823645172273003,1.8704007134363854,necessarily_helps
0.0,0.32,1260,1.0,0.0,0.0,0.6085121951219513,0.849948675586115,1.2750615780287844,1.6883468078956128,1.874445897740785,necessarily_helps
0.0,0.33,1260,1.0,0.0,0.0,0.6261219512195122,0.8658844501842469,1.284193595010008,1.6943888956423507,1.8784910820451843,necessarily_helps
0.0,0.34,1260,1.0,0.0,0.0,0.6437317073170732,0.8749126466958964,1.2938130553293923,1.7004309833890887,1.882536266349584,necessarily_helps
0.0,0.35000000000000003,1260,1.0,0.0,0.0,0.6613414634146342,0.88692416445693,1.3027766982081255,1.7064730711358265,1.8865814506539835,necessarily_helps
0.0,0.36,1260,1.0,0.0,0.0,0.6789512195121951,0.9025039749008901,1.3129883889695213,1.7125151588825644,1.890626634958383,necessarily_helps
0.0,0.37,1260,1.0,0.0,0.0,0.6965609756097562,0.9153202836344654,1.3219201741654574,1.7185572466293024,1.8946718192627825,necessarily_helps
0.0,0.38,1260,1.0,0.0,0.0,0.714170731707317,0.9300801364372867,1.3303322949484937,1.7245993343760402,1.898717003567182,necessarily_helps
0.0,0.39,1260,1.0,0.0,0.0,0.731780487804878,0.9481085610803733,1.3399268030139937,1.730641422122778,1.9027621878715815,necessarily_helps
0.0,0.4,1260,1.0,0.0,0.0,0.749390243902439,0.9655179519155478,1.3488921998477252,1.736683509869516,1.906807372175981,necessarily_helps
0.0,0.41000000000000003,1260,1.0,0.0,0.0,0.767,0.978182922786335,1.358503242405944,1.7425667542706966,1.9108525564803807,necessarily_helps
0.0,0.42,1260,1.0,0.0,0.0,0.784609756097561,0.9931967165653627,1.3677243486436952,1.7475157548191333,1.91489774078478,necessarily_helps
0.0,0.43,1260,1.0,0.0,0.0,0.8022195121951219,1.0080962640132323,1.376964590498905,1.7526343118871506,1.9189429250891796,necessarily_helps
0.0,0.44,1260,1.0,0.0,0.0,0.8198292682926829,1.0203279004436976,1.3863898201320164,1.75828593294652,1.9229881093935792,necessarily_helps
0.0,0.45,1260,1.0,0.0,0.0,0.8374390243902439,1.035617894930295,1.3956573974103166,1.7646440573393893,1.9270332936979786,necessarily_helps
0.0,0.46,1260,1.0,0.0,0.0,0.8550487804878049,1.049348780487805,1.4053635827886688,1.770675780409042,1.9310784780023782,necessarily_helps
0.0,0.47000000000000003,1260,1.0,0.0,0.0,0.872658536585366,1.0633439024390245,1.4154804333194448,1.7766572658772877,1.9351236623067778,necessarily_helps
0.0,0.48,1260,1.0,0.0,0.0,0.8902682926829267,1.0773390243902439,1.4258917954815695,1.783078311182491,1.9391688466111774,necessarily_helps
