stage_id,analysis_role,reference_platform,source_platform,event_time_id,event_year,event_step8,start_date,end_date,fixed_candidate_cities,analyzed_cities_with_hourly_rows,hourly_city_event_rows,eligible_transition_city_events
initial_model_evaluation_expansion_2022_2024,spatial_transfer_evaluation,GOES18,GOES16,903,2022,30,2022-08-21,2022-08-28,43,31,304,29
initial_model_evaluation_expansion_2022_2024,spatial_transfer_evaluation,GOES18,GOES16,904,2022,31,2022-08-29,2022-09-05,43,31,305,29
initial_model_evaluation_expansion_2022_2024,spatial_transfer_evaluation,GOES18,GOES16,941,2023,22,2023-06-18,2023-06-25,43,31,302,29
initial_model_evaluation_expansion_2022_2024,spatial_transfer_evaluation,GOES18,GOES16,942,2023,23,2023-06-26,2023-07-03,43,31,302,29
initial_model_evaluation_expansion_2022_2024,spatial_transfer_evaluation,GOES18,GOES16,943,2023,24,2023-07-04,2023-07-11,43,31,299,28
initial_model_evaluation_expansion_2022_2024,spatial_transfer_evaluation,GOES18,GOES16,944,2023,25,2023-07-12,2023-07-19,43,31,303,29
initial_model_evaluation_expansion_2022_2024,spatial_transfer_evaluation,GOES18,GOES16,945,2023,26,2023-07-20,2023-07-27,43,31,300,29
initial_model_evaluation_expansion_2022_2024,spatial_transfer_evaluation,GOES18,GOES16,946,2023,27,2023-07-28,2023-08-04,43,31,296,29
initial_model_evaluation_expansion_2022_2024,spatial_transfer_evaluation,GOES18,GOES16,947,2023,28,2023-08-05,2023-08-12,43,31,301,29
initial_model_evaluation_expansion_2022_2024,spatial_transfer_evaluation,GOES18,GOES16,948,2023,29,2023-08-13,2023-08-20,43,31,297,27
initial_model_evaluation_expansion_2022_2024,spatial_transfer_evaluation,GOES18,GOES16,949,2023,30,2023-08-21,2023-08-28,43,31,301,29
initial_model_evaluation_expansion_2022_2024,spatial_transfer_evaluation,GOES18,GOES16,950,2023,31,2023-08-29,2023-09-05,43,31,303,29
initial_model_evaluation_expansion_2022_2024,spatial_transfer_evaluation,GOES18,GOES16,987,2024,22,2024-06-17,2024-06-24,43,31,304,30
initial_model_evaluation_expansion_2022_2024,spatial_transfer_evaluation,GOES18,GOES16,988,2024,23,2024-06-25,2024-07-02,43,31,284,25
initial_model_evaluation_expansion_2022_2024,spatial_transfer_evaluation,GOES18,GOES16,989,2024,24,2024-07-03,2024-07-10,43,31,301,31
initial_model_evaluation_expansion_2022_2024,spatial_transfer_evaluation,GOES18,GOES16,990,2024,25,2024-07-11,2024-07-18,43,31,304,30
initial_model_evaluation_expansion_2022_2024,spatial_transfer_evaluation,GOES18,GOES16,991,2024,26,2024-07-19,2024-07-26,43,31,298,30
initial_model_evaluation_expansion_2022_2024,spatial_transfer_evaluation,GOES18,GOES16,992,2024,27,2024-07-27,2024-08-03,43,31,299,31
initial_model_evaluation_expansion_2022_2024,spatial_transfer_evaluation,GOES18,GOES16,993,2024,28,2024-08-04,2024-08-11,43,31,291,31
initial_model_evaluation_expansion_2022_2024,spatial_transfer_evaluation,GOES18,GOES16,994,2024,29,2024-08-12,2024-08-19,43,31,306,31
initial_model_evaluation_expansion_2022_2024,spatial_transfer_evaluation,GOES18,GOES16,995,2024,30,2024-08-20,2024-08-27,43,31,300,30
initial_model_evaluation_expansion_2022_2024,spatial_transfer_evaluation,GOES18,GOES16,996,2024,31,2024-08-28,2024-09-04,43,31,304,31
initial_model_evaluation_expansion_2025,spatiotemporal_sensor_evaluation,GOES18,GOES19,1033,2025,22,2025-06-18,2025-06-25,43,31,298,30
initial_model_evaluation_expansion_2025,spatiotemporal_sensor_evaluation,GOES18,GOES19,1034,2025,23,2025-06-26,2025-07-03,43,31,294,31
initial_model_evaluation_expansion_2025,spatiotemporal_sensor_evaluation,GOES18,GOES19,1035,2025,24,2025-07-04,2025-07-11,43,31,298,31
initial_model_evaluation_expansion_2025,spatiotemporal_sensor_evaluation,GOES18,GOES19,1036,2025,25,2025-07-12,2025-07-19,43,31,298,31
initial_model_evaluation_expansion_2025,spatiotemporal_sensor_evaluation,GOES18,GOES19,1037,2025,26,2025-07-20,2025-07-27,43,31,292,27
initial_model_evaluation_expansion_2025,spatiotemporal_sensor_evaluation,GOES18,GOES19,1038,2025,27,2025-07-28,2025-08-04,43,31,290,30
initial_model_evaluation_expansion_2025,spatiotemporal_sensor_evaluation,GOES18,GOES19,1039,2025,28,2025-08-05,2025-08-12,43,31,293,28
initial_model_evaluation_expansion_2025,spatiotemporal_sensor_evaluation,GOES18,GOES19,1040,2025,29,2025-08-13,2025-08-20,43,31,298,29
initial_model_evaluation_expansion_2025,spatiotemporal_sensor_evaluation,GOES18,GOES19,1041,2025,30,2025-08-21,2025-08-28,43,31,297,31
initial_model_evaluation_expansion_2025,spatiotemporal_sensor_evaluation,GOES18,GOES19,1042,2025,31,2025-08-29,2025-09-05,43,31,305,30
initial_model_evaluation_original_2025,temporal_sensor_evaluation,GOES18,GOES19,1033,2025,22,2025-06-18,2025-06-25,51,44,426,44
initial_model_evaluation_original_2025,temporal_sensor_evaluation,GOES18,GOES19,1034,2025,23,2025-06-26,2025-07-03,51,44,399,43
initial_model_evaluation_original_2025,temporal_sensor_evaluation,GOES18,GOES19,1035,2025,24,2025-07-04,2025-07-11,51,44,409,43
