model,n_pairs,mean_target_post_diff,intercept,r_squared,explained_component_sum,explained_share_of_mean_target,contrib_t2m_true_night_c_post_diff,contrib_core_tv_night_anom_post_diff,contrib_core_tv_day_anom_post_diff,contrib_wetbulb_true_night_c_post_diff,contrib_core_minus_ring_tv_night_anom_post_diff
baseline_mean,21087,0.42036109386072246,0.4203610938607225,3.3306690738754696e-16,0.0,0.0,,,,,
air_only,21087,0.42036109386072246,0.3915233152280809,0.0010193732892049834,0.028837778632641663,0.06860239697205764,0.028837778632641663,,,,
veg_night_only,21087,0.42036109386072246,0.14757575687251576,0.14735643866933656,0.27278533698820673,0.6489309809403727,,0.27278533698820673,,,
air_plus_veg_night,21087,0.42036109386072246,0.3107984597001636,0.22575332299064688,0.10956263416055878,0.2606393307104201,-0.3299408745851495,0.43950350874570826,,,
air_plus_veg_day_night,21087,0.42036109386072246,0.3102803711141702,0.2274551991313568,0.11008072274655312,0.26187181533747267,-0.3169292902995524,0.44892919449878715,-0.021919181452681635,,
full_surface_model,21087,0.42036109386072246,0.1407159611733772,0.639346609245055,0.279645132687345,0.6652497977845669,-0.00871159298709677,0.004667090040365661,-0.013881585675024104,0.002360654359430787,0.2952105669496694
