veg_group,state,n_city_intervals,n_cities,mean_t2m_true_night_c,mean_wetbulb_true_night_c,mean_core_minus_ring_tb_night_anom,frac_anomalous_core_warmer,frac_true_health_local_t2m_p90,frac_true_failure_local_t2m_p90,frac_true_failure_t2m_ge25,frac_true_failure_t2m_ge28,frac_true_failure_wetbulb_p90
high_veg,DHD,155690,2769,16.7487693334251,14.042843340297644,0.047379841673594034,0.5115742822275033,0.20653863446592588,0.10249213180037253,0.058404521806153256,0.01574282227503372,0.06458346714625217
high_veg,MLD,454111,2769,15.42168081921819,13.881770740921104,-0.14452625249057105,0.3921089777609439,0.0,0.0,0.0,0.0,0.0
high_veg,extreme_DHD,121888,2769,17.556864366999385,14.652951906555813,0.08205420385582955,0.5242681806248359,0.2555214623260698,0.13027533473352587,0.06895674717773694,0.01768016539774219,0.074223877658178
low_veg,DHD,147866,2727,18.38250638140995,15.37981778023104,-0.016048982187187238,0.4633249022763854,0.18771725751694102,0.08392057673839828,0.08981780801536526,0.022560967362341578,0.055435326579470603
low_veg,MLD,436939,2727,17.18734448352505,15.326435793462169,-0.10900903548507619,0.383415076246341,0.0,0.0,0.0,0.0,0.0
low_veg,extreme_DHD,110277,2727,19.341209150327327,16.24681417168343,-0.007600751030447174,0.4628707708769734,0.23052857803531107,0.10312213788913373,0.1028591637422128,0.027231426317364454,0.06358533511067585
