uc_id,day_valid_frac_core,day_valid_frac_ring10_20,night_valid_frac_core,night_valid_frac_ring10_20,retain_day_fullperiod,retain_night_fullperiod,retain_either_fullperiod
1,0.946124763705104,0.8402646502835539,0.8827977315689981,0.7627599243856332,True,True,True
1000,0.9489603024574669,0.9848771266540642,0.9111531190926276,0.9697542533081286,True,True,True
10001,0.9083175803402647,0.9858223062381852,0.9319470699432892,0.9914933837429112,True,True,True
10003,0.8705103969754253,0.8790170132325141,0.9026465028355387,0.9130434782608695,True,True,True
10005,0.7646502835538752,0.8270321361058601,0.8185255198487713,0.8809073724007561,True,True,True
10006,0.8374291115311909,0.8497164461247637,0.7476370510396976,0.7296786389413988,True,True,True
10007,0.8213610586011342,0.9669187145557656,0.8355387523629489,0.9754253308128544,True,True,True
10008,0.8846880907372401,0.8412098298676749,0.8667296786389413,0.8553875236294896,True,True,True
10009,0.4943289224952741,0.9215500945179584,0.4867674858223062,0.9177693761814745,False,False,False
10011,0.7948960302457467,0.8459357277882797,0.8260869565217391,0.8837429111531191,True,True,True
10015,0.5179584120982986,0.5945179584120983,0.611531190926276,0.7646502835538752,True,True,True
10017,0.503780718336484,0.505671077504726,0.6795841209829868,0.7117202268431002,True,True,True
10019,0.8251417769376181,0.9168241965973535,0.8724007561436673,0.943289224952741,True,True,True
10021,0.6833648393194707,0.831758034026465,0.7344045368620038,0.8969754253308129,True,True,True
10022,0.5850661625708885,0.7353497164461248,0.6871455576559546,0.8440453686200378,True,True,True
10023,0.7334593572778828,0.5614366729678639,0.7986767485822306,0.7032136105860114,True,True,True
10025,0.6247637051039697,0.9801512287334594,0.6209829867674859,0.9829867674858223,True,True,True
10027,0.8175803402646503,0.8100189035916824,0.8676748582230623,0.888468809073724,True,True,True
10028,0.6540642722117203,0.8657844990548205,0.6644612476370511,0.8478260869565217,True,True,True
10029,0.8497164461247637,0.9139886578449905,0.8913043478260869,0.946124763705104,True,True,True
10033,0.6351606805293005,0.9640831758034026,0.6465028355387523,0.9678638941398866,True,True,True
10037,0.6361058601134215,0.7098298676748582,0.7344045368620038,0.8100189035916824,True,True,True
10039,0.6030245746691871,0.7136105860113422,0.6455576559546313,0.8137996219281664,True,True,True
10041,0.7362948960302458,0.7334593572778828,0.8100189035916824,0.8364839319470699,True,True,True
10043,0.9111531190926276,0.9810964083175804,0.9300567107750473,0.9914933837429112,True,True,True
10047,0.3790170132325142,0.9593572778827977,0.3733459357277883,0.9508506616257089,False,False,False
10049,0.6020793950850661,0.9678638941398866,0.6039697542533081,0.9697542533081286,True,True,True
1005,0.6994328922495274,0.945179584120983,0.7041587901701323,0.9517958412098299,True,True,True
10050,0.8440453686200378,0.7438563327032136,0.7155009451795841,0.6644612476370511,True,True,True
10051,0.8903591682419659,0.9272211720226843,0.9338374291115312,0.9669187145557656,True,True,True
10052,0.8128544423440454,0.8251417769376181,0.6928166351606805,0.719281663516068,True,True,True
10053,0.8865784499054821,0.943289224952741,0.9102079395085066,0.9499054820415879,True,True,True
10056,0.5850661625708885,0.7863894139886578,0.724952741020794,0.8809073724007561,True,True,True
1006,0.5264650283553876,0.6474480151228733,0.5274102079395085,0.6502835538752363,True,True,True
