model,n_pairs,mean_target_post_diff,intercept,r_squared,explained_component_sum,explained_share_of_mean_target,contrib_t2m_true_night_c_post_diff,contrib_core_tv_night_anom_post_diff,contrib_core_tv_day_anom_post_diff,contrib_wetbulb_true_night_c_post_diff,contrib_core_minus_ring_tv_night_anom_post_diff
baseline_mean,21087,0.4203610938607224,0.4203610938607225,3.3306690738754696e-16,0.0,0.0,,,,,
air_only,21087,0.4203610938607224,0.3915233152280809,0.0010193732892049,0.0288377786326416,0.0686023969720576,0.0288377786326416,,,,
veg_night_only,21087,0.4203610938607224,0.1475757568725157,0.1473564386693365,0.2727853369882067,0.6489309809403727,,0.2727853369882067,,,
air_plus_veg_night,21087,0.4203610938607224,0.3107984597001636,0.2257533229906468,0.1095626341605587,0.2606393307104201,-0.3299408745851495,0.4395035087457082,,,
air_plus_veg_day_night,21087,0.4203610938607224,0.3102803711141702,0.2274551991313568,0.1100807227465531,0.2618718153374726,-0.3169292902995524,0.4489291944987871,-0.0219191814526816,,
full_surface_model,21087,0.4203610938607224,0.1407159611733772,0.639346609245055,0.279645132687345,0.6652497977845669,-0.0087115929870967,0.0046670900403656,-0.0138815856750241,0.0023606543594307,0.2952105669496694
