obstruction_level,green_water_mismatch,antecedent_nocturnal_retention,predicted_failure_probability
low_obstruction,-0.6598708875217864,-0.9275450736434058,0.29938405305258414
low_obstruction,-0.6598708875217864,-0.8701584396749881,0.3026497244817744
low_obstruction,-0.6598708875217864,-0.8127718057065705,0.30593546288754325
low_obstruction,-0.6598708875217864,-0.7553851717381528,0.3092410544088384
low_obstruction,-0.6598708875217864,-0.6979985377697351,0.31256627778143653
low_obstruction,-0.6598708875217864,-0.6406119038013175,0.31591090434827807
low_obstruction,-0.6598708875217864,-0.5832252698328998,0.3192746980750533
low_obstruction,-0.6598708875217864,-0.5258386358644822,0.3226574155711109
low_obstruction,-0.6598708875217864,-0.4684520018960645,0.3260588061157569
low_obstruction,-0.6598708875217864,-0.4110653679276468,0.32947861169000453
low_obstruction,-0.6598708875217864,-0.3536787339592292,0.33291656701382966
low_obstruction,-0.6598708875217864,-0.2962920999908115,0.33637239958898074
low_obstruction,-0.6598708875217864,-0.23890546602239382,0.3398458297473854
low_obstruction,-0.6598708875217864,-0.18151883205397623,0.3433365707051899
low_obstruction,-0.6598708875217864,-0.12413219808555853,0.3468443286224597
low_obstruction,-0.6598708875217864,-0.06674556411714094,0.3503688026685632
low_obstruction,-0.6598708875217864,-0.009358930148723243,0.3539096850932538
low_obstruction,-0.6598708875217864,0.048027703819694456,0.3574666613034582
low_obstruction,-0.6598708875217864,0.10541433778811216,0.36103940994576833
low_obstruction,-0.6598708875217864,0.16280097175652963,0.36462760299463426
low_obstruction,-0.6598708875217864,0.22018760572494733,0.36823090584623747
low_obstruction,-0.6598708875217864,0.27757423969336503,0.3718489774180264
low_obstruction,-0.6598708875217864,0.33496087366178273,0.3754814702538796
low_obstruction,-0.6598708875217864,0.39234750763020043,0.37912803063486
low_obstruction,-0.6598708875217864,0.44973414159861813,0.38278829869551373
low_obstruction,-0.6598708875217864,0.5071207755670356,0.3864619085456569
low_obstruction,-0.6598708875217864,0.5645074095354533,0.39014848839758914
