reset,mean_probability_reduction,median_probability_reduction,represented_resident_8day_intervals,n_obs
water_mismatch_to_regional_p25,0.035301407403352546,0.02853670736073255,4399489523.211231,61923
retention_to_regional_p25,0.026903031166571164,0.020057479569232206,1350943266.9838362,61923
obstruction_to_regional_p25,0.03543446361846905,0.025888264236966496,2447455911.5766563,61923
joint_water_retention_obstruction_to_regional_p25,0.0976439574418199,0.0882122969243832,8400936759.348217,61923
