sample,n_obs,event_rate,mean_pred,auc,brier,calibration_slope
target_high_green_dhd_hot_all_years,61923,0.5095844839558807,0.5095844839558811,0.6241712915662836,0.23807907418432753,0.9999999999999913
ahe_subset_high_green_dhd_hot,20611,0.47571685022560767,0.47571685022560795,0.6322903503379759,0.23606198718887,0.9999999999994454
