null_name,statistic,obs_slope,null_mean_slope,null_q025_slope,null_q975_slope,empirical_p_one_sided,n_sim
region-block circular shift,mean_frac_event,0.0005620114522983079,0.0005620114522983079,0.0005620114522983079,0.000562011452298308,1.0,500
region-block circular shift,p90_frac_event,0.0016275284817484303,0.0012907784321808454,0.0010740832136341529,0.0015231156115784173,0.003992015968063872,500
region-block circular shift,max_frac_event,0.0023250406882120438,0.0014830614367039767,0.001008744934478071,0.0021025482018021202,0.005988023952095809,500
DHD-hot-timing-preserving conditional failure null,mean_frac_event,0.0005620114522983079,0.0005620114522983079,0.0005620114522983079,0.0005620114522983081,1.0,500
DHD-hot-timing-preserving conditional failure null,p90_frac_event,0.0016275284817484303,0.0016715801575607329,0.0016074651992759568,0.0017350526985449241,0.9101796407185628,500
DHD-hot-timing-preserving conditional failure null,max_frac_event,0.0023250406882120438,0.0020843091134462952,0.0019530341780981165,0.0022262710341296,0.001996007984031936,500
